MF;SPECIES;FAMILY;FAMILY;N/E/I;IND/NONNAIND;HABITATNALeaves, branches, flowers, seeds, fruits (surface);HABITATNAinside stems, roots, fruits, pods, fungi;HABITATNAGround;HABITATNAUnder stones, bark, twigs;HABITATNADecaying matter;HABITATNASubterranean;Female min;Female max;Female Avg;Male min;Male max;Male Avg;Dispersal;Verticality;Nocturnality;Capture web;Sensing web;No web;Tube web;Sheet web;Space web;Orb web ;Ambush hunter;Active hunter;Stenophagous / Not Euryphagous
442;Minicia_floresensis;Wunderlich    ;Linyphiidae;E ;IND;1;0;0;0;1;0;1.05;2.02;0,100694444;1.06;1.08;1.07;2;0.38;0.59;0;0;1;0;0;0;0;0;1;0
488;Cryptachaea_blattea;(Urquhart)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;2.02;3.06;2.09;1.07;2.04;2.05;1;0.11;0,047916667;1;0;0;0;0;1;0;0;0;0
516;Clubiona_decora;Blackwall    ;Clubionidae;N;IND;1;0;0;1;1;0;3.08;5.05;0,211805556;3.05;3.05;3.05;0;0,059722222;0,059027778;0;0;1;0;0;0;0;0;1;0
526;Neon_acoreensis;Wunderlich    ;Salticidae;E ;IND;1;0;0;0;1;0;1.08;2.02;2;1.05;1.05;1.05;1;1;0;0;0;1;0;0;0;0;0;1;0
559;Rhomphaea_nasica;(Simon)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
697;Microlinyphia_johnsoni;(Blackwall)    ;Linyphiidae;N;IND;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
735;Neriene_clathrata;(Sundevall)    ;Linyphiidae;I;NONNAIND;1;0;0;0;0;0;3;5.05;4.25;3.06;4.08;4.02;2;0.44;1;1;0;0;0;1;1;0;0;0;0
869;Steatoda_nobilis;(Thorell)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;7.06;14;10.08;5.06;11.04;8.05;1;0,046527778;0,068055556;1;0;0;0;0;1;0;0;0;0
927;Cheiracanthium_erraticum;(Walckenaer)    ;Eutichuridae;I;NONNAIND;1;0;0;0;0;0;7.09;9.03;8.06;5;8.03;0,295138889;0;0,05625;0.53;0;0;1;0;0;0;0;0;1;0
1309;Neoscona_crucifera;(Lucas)    ;Araneidae;I;NONNAIND;0;0;0;0;0;0;4.07;10.07;7.07;6.02;7.07;0,315972222;2;0.06;0,063194444;1;0;0;0;0;0;1;0;0;0
1402;Gen._Sp.;    ;Linyphiidae;N;IND;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
