Trail_Sampling Area;2;3;4;5;17;20;21;22;28;34;39;50;117;133;134;140;179;181;198;208;228;233;234;241;246;260;312;421;442;443;697;927;1220
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Lagoinha _Control_250;0;0;0;0;0;0;1;0;0;0;0;0;0;3;5;0;5;0;2;1;0;0;0;0;0;0;0;0;0;0;3;0;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;5;17;4;1;0;0;0;0;0;0;0;0;0;0;0;3;0
Lagoinha _Control_250;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;2;15;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Lagoinha _Control_250;1;0;0;0;0;0;0;0;0;0;0;0;2;1;5;0;1;12;4;1;0;0;0;0;0;0;0;0;0;0;2;2;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Lagoinha _Control_250;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Lagoinha _Control_250;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0
Lagoinha _Control_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;1;0;0;0;0;0;0;0;0;2;0;3;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;17;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Malhadas_Max;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;19;11;0;0;0;0;0;0;0;0;0;5;0;0;1;0
Malhadas_Max;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Malhadas_Max;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
