;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
55;all.tax.btotal;-0.8048867;NA;-0.22157044;NA;NA;4;15.67119;-20.84239;10.5465146;0.002267906
56;all.tax.btotal;-0.6868281;NA;0.07433153;-0.50845;NA;5;16.80509;-19.61018;11.7787208;0.001224771
57;all.tax.brich;-2.424263;NA;NA;NA;-1.449686;4;43.59875;-76.69751;0;0.5188473974
58;all.tax.brich;-2.713243;NA;0.8819449;NA;-1.644327;5;44.89071;-75.78142;0.91609;0.328180844
59;all.tax.brich;-2.471976;NA;NA;0.173313;-1.463351;5;43.71429;-73.42858;3.268926;0.1012048783
60;all.tax.brich;-2.755635;NA;0.8707198;0.1582759;-1.679662;6;44.98918;-71.97837;4.719143;0.0490106743
61;all.tax.brich;-2.098491;NA;NA;NA;NA;3;36.22736;-65.04295;11.654563;0.0015285635
62;all.tax.brich;-1.976382;NA;NA;-0.4332536;NA;4;37.06966;-63.63932;13.058192;0.000757686
63;all.tax.brich;-2.066074;NA;-0.0538669;NA;NA;4;36.24759;-61.99519;14.702324;0.0003330202
64;all.tax.brich;-2.000797;NA;0.139893;-0.4358465;NA;5;37.10891;-60.21781;16.479699;0.0001369363
65;all.tax.brepl;-1.231276;NA;NA;NA;-0.695407;4;27.69911;-44.89823;0;0.40362654
66;all.tax.brepl;-1.467427;NA;0.6401616;NA;-0.9475322;5;29.08488;-44.16975;0.7284748;0.28040995
67;all.tax.brepl;-1.37196;NA;NA;NA;NA;3;24.71472;-42.01768;2.8805434;0.09560435
68;all.tax.brepl;-1.285813;NA;NA;0.2577448;-0.7848967;5;27.80656;-41.61312;3.2851051;0.0780959
69;all.tax.brepl;-1.138877;NA;NA;-0.4110344;NA;4;25.75689;-41.01378;3.8844459;0.05787394
70;all.tax.brepl;-1.626593;NA;0.6715042;0.3780328;-1.1600029;6;29.38185;-40.7637;4.13453;0.05107142
71;all.tax.brepl;-1.309023;NA;-0.1041158;NA;NA;4;24.77665;-39.0533;5.8449264;0.02171551
72;all.tax.brepl;-1.204047;NA;0.1829509;-0.5037777;NA;5;25.89983;-37.79967;7.0985581;0.01160239
73;nat.tax.btotal;-0.03587389;NA;0.9071329;NA;-0.9786041;5;81.69504;-149.3901;0;0.27828544
74;nat.tax.btotal;0.14332121;NA;NA;NA;NA;3;78.26076;-149.1098;0.280323;0.24189067
75;nat.tax.btotal;0.38822154;NA;NA;NA;-0.5427668;4;79.61446;-148.7289;0.6611732;0.19994869
76;nat.tax.btotal;-0.05675746;NA;0.3342587;NA;NA;4;78.58752;-146.675;2.7150386;0.07160236
77;nat.tax.btotal;0.30983608;NA;NA;-0.2725253;NA;4;78.53003;-146.5601;2.8300295;0.06760167
78;nat.tax.btotal;-0.24969093;NA;0.9554131;0.586156;-1.4026946;6;82.26071;-146.5214;2.8686595;0.06630847
79;nat.tax.btotal;0.24038718;NA;NA;0.4746082;-0.863282;5;79.98226;-145.9645;3.4255584;0.05019263
80;nat.tax.btotal;0.0974253;NA;0.5312188;-0.4926983;NA;5;79.25151;-144.503;4.8870634;0.02417008
81;nat.tax.brich;-0.69085873;NA;1.4233102;NA;-1.0907001;5;82.8818;-151.7636;0;0.56738257
82;nat.tax.brich;-0.16302759;NA;NA;NA;NA;3;77.94348;-148.4752;3.288395;0.1095999
83;nat.tax.brich;-0.85331739;NA;1.4629237;0.4104846;-1.3972232;6;83.12824;-148.2565;3.50711;0.09824644
84;nat.tax.brich;-0.54587552;NA;0.6870023;NA;NA;4;79.16572;-147.8314;3.932163;0.07943603
85;nat.tax.brich;-0.03312062;NA;NA;NA;-0.4617135;4;78.83384;-147.1677;4.595911;0.05700155
86;nat.tax.brich;-0.38687191;NA;0.9997008;-0.6704987;NA;5;80.38992;-146.7798;4.983754;0.04695346
87;nat.tax.brich;-0.01636422;NA;NA;-0.2609863;NA;4;78.18498;-145.87;5.893625;0.02979145
88;nat.tax.brich;-0.15177068;NA;NA;0.3437215;-0.6920873;5;78.99079;-143.9816;7.782024;0.0115886
89;nat.tax.brepl;-1.861776;NA;NA;NA;NA;3;80.99652;-154.5813;0;0.458763465
90;nat.tax.brepl;-1.630046;NA;-0.3985315;NA;NA;4;81.79536;-153.0907;1.490567;0.217729011
91;nat.tax.brepl;-1.803263;NA;NA;NA;-0.163819722;4;81.17544;-151.8509;2.730397;0.117136086
92;nat.tax.brepl;-1.798069;NA;NA;-0.1142029;NA;4;81.03681;-151.5736;3.007661;0.101972606
93;nat.tax.brepl;-1.662262;NA;-0.4350657;0.0910455;NA;5;81.82856;-149.6571;4.924154;0.039113108
94;nat.tax.brepl;-1.629683;NA;-0.3945343;NA;-0.007608373;5;81.79567;-149.5913;4.989943;0.037847446
95;nat.tax.brepl;-1.879407;NA;NA;0.2151601;-0.297119974;5;81.24514;-148.4903;6.091011;0.021824413
96;nat.tax.brepl;-1.709619;NA;-0.4043897;0.2361967;-0.159683282;6;81.88735;-145.7747;8.806591;0.005613864
97;nind.tax.btotal;-0.03587389;NA;0.9071329;NA;-0.9786041;5;81.69504;-149.3901;0;0.27828544
98;nind.tax.btotal;0.14332121;NA;NA;NA;NA;3;78.26076;-149.1098;0.280323;0.24189067
99;nind.tax.btotal;0.38822154;NA;NA;NA;-0.5427668;4;79.61446;-148.7289;0.6611732;0.19994869
100;nind.tax.btotal;-0.05675746;NA;0.3342587;NA;NA;4;78.58752;-146.675;2.7150386;0.07160236
101;nind.tax.btotal;0.30983608;NA;NA;-0.2725253;NA;4;78.53003;-146.5601;2.8300295;0.06760167
102;nind.tax.btotal;-0.24969093;NA;0.9554131;0.586156;-1.4026946;6;82.26071;-146.5214;2.8686595;0.06630847
103;nind.tax.btotal;0.24038718;NA;NA;0.4746082;-0.863282;5;79.98226;-145.9645;3.4255584;0.05019263
104;nind.tax.btotal;0.0974253;NA;0.5312188;-0.4926983;NA;5;79.25151;-144.503;4.8870634;0.02417008
105;nind.tax.brich;-0.69085873;NA;1.4233102;NA;-1.0907001;5;82.8818;-151.7636;0;0.56738257
106;nind.tax.brich;-0.16302759;NA;NA;NA;NA;3;77.94348;-148.4752;3.288395;0.1095999
107;nind.tax.brich;-0.85331739;NA;1.4629237;0.4104846;-1.3972232;6;83.12824;-148.2565;3.50711;0.09824644
108;nind.tax.brich;-0.54587552;NA;0.6870023;NA;NA;4;79.16572;-147.8314;3.932163;0.07943603
109;nind.tax.brich;-0.03312062;NA;NA;NA;-0.4617135;4;78.83384;-147.1677;4.595911;0.05700155
110;nind.tax.brich;-0.38687191;NA;0.9997008;-0.6704987;NA;5;80.38992;-146.7798;4.983754;0.04695346
111;nind.tax.brich;-0.01636422;NA;NA;-0.2609863;NA;4;78.18498;-145.87;5.893625;0.02979145
112;nind.tax.brich;-0.15177068;NA;NA;0.3437215;-0.6920873;5;78.99079;-143.9816;7.782024;0.0115886
113;nind.tax.brepl;-1.861776;NA;NA;NA;NA;3;80.99652;-154.5813;0;0.458763465
114;nind.tax.brepl;-1.630046;NA;-0.3985315;NA;NA;4;81.79536;-153.0907;1.490567;0.217729011
115;nind.tax.brepl;-1.803263;NA;NA;NA;-0.163819722;4;81.17544;-151.8509;2.730397;0.117136086
116;nind.tax.brepl;-1.798069;NA;NA;-0.1142029;NA;4;81.03681;-151.5736;3.007661;0.101972606
117;nind.tax.brepl;-1.662262;NA;-0.4350657;0.0910455;NA;5;81.82856;-149.6571;4.924154;0.039113108
118;nind.tax.brepl;-1.629683;NA;-0.3945343;NA;-0.007608373;5;81.79567;-149.5913;4.989943;0.037847446
119;nind.tax.brepl;-1.879407;NA;NA;0.2151601;-0.297119974;5;81.24514;-148.4903;6.091011;0.021824413
120;nind.tax.brepl;-1.709619;NA;-0.4043897;0.2361967;-0.159683282;6;81.88735;-145.7747;8.806591;0.005613864
121;all.func.btotal;-0.8169059;NA;NA;NA;-1.169148;4;20.72459;-30.94919;0;0.416130431
122;all.func.btotal;-1.2038469;NA;1.0579774;NA;-1.595509;5;22.45734;-30.91468;0.03451069;0.409011553
123;all.func.btotal;-0.9078973;NA;NA;0.3016499;-1.246763;5;20.88669;-27.77338;3.17581107;0.085037575
124;all.func.btotal;-1.2487571;NA;0.9809978;0.2440134;-1.634425;6;22.55523;-27.11047;3.83871913;0.061046702
125;all.func.btotal;-0.9473881;NA;NA;NA;NA;3;15.68532;-23.95888;6.99030909;0.012627086
126;all.func.btotal;-0.6635723;NA;NA;-0.4804001;NA;4;17.08095;-23.66191;7.28727805;0.010884717
127;all.func.btotal;-0.8302991;NA;-0.192431;NA;NA;4;15.87448;-21.24896;9.70022633;0.003257257
128;all.func.btotal;-0.7083065;NA;0.1221625;-0.5392019;NA;5;17.13908;-20.27816;10.67103099;0.002004678
129;all.func.brich;-1.463574;NA;NA;NA;-0.647031;4;30.89365;-51.2873;0;0.43686308
130;all.func.brich;-1.731673;NA;0.5463385;NA;-0.9422419;5;32.19505;-50.3901;0.8972019;0.278946181
131;all.func.brich;-1.590567;NA;NA;0.3384283;-0.8230752;5;31.1745;-48.349;2.9382969;0.100531525
132;all.func.brich;-1.674285;NA;NA;NA;NA;3;27.41445;-47.41713;3.870168;0.06308833
133;all.func.brich;-1.894126;NA;0.5718923;0.3863265;-1.147495;6;32.5467;-47.0934;4.1939021;0.05366005
134;all.func.brich;-1.445074;NA;NA;-0.4151664;NA;4;28.57922;-46.65844;4.6288581;0.043171942
135;all.func.brich;-1.580048;NA;-0.1583131;NA;NA;4;27.57443;-44.64885;6.6384478;0.0158061
136;all.func.brich;-1.483011;NA;0.1077954;-0.4702157;NA;5;28.63503;-43.27007;8.0172293;0.007932793
137;all.func.brepl;-1.745228;NA;NA;NA;-1.335185;4;31.62687;-52.75373;0;0.5907941448
138;all.func.brepl;-1.969412;NA;0.7494496;NA;-1.503345;5;32.54037;-51.08074;1.672995;0.2559469353
139;all.func.brepl;-1.796164;NA;NA;0.1527962;-1.364552;5;31.6945;-49.38899;3.364739;0.1098480874
140;all.func.brepl;-2.01562;NA;0.7411651;0.1532971;-1.546026;6;32.60668;-47.21337;5.540361;0.0370136633
141;all.func.brepl;-1.626248;NA;NA;NA;NA;3;24.78921;-42.16666;10.587076;0.0029681233
142;all.func.brepl;-1.394241;NA;NA;-0.4158134;NA;4;26.05738;-41.61476;11.138974;0.0022523647
143;all.func.brepl;-1.525986;NA;-0.1685828;NA;NA;4;24.97332;-39.44664;13.307092;0.0007617945
144;all.func.brepl;-1.433473;NA;0.1096364;-0.4706194;NA;5;26.11565;-38.2313;14.522435;0.0004148867
145;nat.func.btotal;-0.7554771;NA;NA;NA;-1.145464;4;20.22098;-29.94195;0;0.479325737
146;nat.func.btotal;-1.0995892;NA;0.94758735;NA;-1.523456;5;21.64889;-29.29778;0.6441683;0.347337256
147;nat.func.btotal;-0.7907167;NA;NA;0.13225262;-1.167964;5;20.24814;-26.49629;3.445666;0.085588198
148;nat.func.btotal;-1.1050205;NA;0.93429656;0.03669517;-1.52641;6;5,394444444;-25.3016;4.6403512;0.047096787
149;nat.func.btotal;-0.9077798;NA;NA;NA;NA;3;15.31325;-23.21473;6.7272216;0.016589494
150;nat.func.btotal;-0.6048686;NA;NA;-0.51139436;NA;4;6,615277778;-23.2132;6.7287534;0.016576793
151;nat.func.btotal;-0.7744569;NA;-0.21888844;NA;NA;4;15.55412;-20.60824;9.3337149;0.00450651
152;nat.func.btotal;-0.639206;NA;0.09242848;-0.55412676;NA;5;16.89026;-19.78052;10.1614345;0.002979225
153;nat.func.brich;-1.515633;NA;NA;NA;-0.5725477;4;32.30631;-54.11263;0;0.40606996
154;nat.func.brich;-1.786842;NA;0.549681;NA;-0.8649984;5;33.55597;-53.11194;1.000689;0.24620906
155;nat.func.brich;-1.706407;NA;NA;NA;NA;3;29.47846;-51.54516;2.567465;0.11248198
156;nat.func.brich;-1.462922;NA;NA;-0.44416763;NA;4;30.75224;-51.00448;3.108149;0.08583707
157;nat.func.brich;-1.546379;NA;NA;0.08477176;-0.6141797;5;32.32505;-50.65009;3.462532;0.07189878
158;nat.func.brich;-1.828115;NA;0.5551593;0.10334584;-0.9155656;6;33.58278;-49.16557;4.947059;0.03422635
159;nat.func.brich;-1.63413;NA;-0.1207673;NA;NA;4;29.57068;-48.64135;5.471277;0.02633469
160;nat.func.brich;-1.521811;NA;0.1613142;-0.5240873;NA;5;30.87959;-47.75918;6.353447;0.01694211
161;nat.func.brepl;-1.598554;NA;NA;NA;-1.307506;4;30.43283;-50.36565;0;0.6673480394
162;nat.func.brepl;-1.742399;NA;0.5095121;NA;-1.410955;5;30.79812;-47.59624;2.769406;0.1671027397
163;nat.func.brepl;-1.665616;NA;NA;0.2092315;-1.362678;5;30.54879;-47.09759;3.268065;0.1302270233
164;nat.func.brepl;-1.801627;NA;0.4977047;0.203773;-1.475688;6;30.90486;-43.80971;6.555939;0.0251621822
165;nat.func.brepl;-1.505366;NA;NA;NA;NA;3;24.00093;-40.5901;9.775546;0.0050305978
166;nat.func.brepl;-1.283335;NA;NA;-0.3914916;NA;4;25.09341;-39.68683;10.678823;0.0032023989
167;nat.func.brepl;-1.38726;NA;-0.1983699;NA;NA;4;24.24148;-37.98296;12.38269;0.0013661093
168;nat.func.brepl;-1.298116;NA;0.0414387;-0.4112955;NA;5;25.10132;-36.20264;14.163015;0.0005609095
169;nind.func.btotal;-0.224377632;NA;1.1156518;NA;-1.0829244;5;73.18735;-132.3747;0;0.46179047
170;nind.func.btotal;0.071841303;NA;NA;NA;NA;3;68.81118;-130.2106;2.164103;0.15650061
171;nind.func.btotal;0.310585646;NA;NA;NA;-0.5318582;4;70.1499;-129.7998;2.574909;0.12744142
172;nind.func.btotal;-0.365221975;NA;1.1389587;0.3851304;-1.3520324;6;73.41735;-128.8347;3.539996;0.07865832
173;nind.func.btotal;-0.200740716;NA;0.4577114;NA;NA;4;69.40579;-128.3116;4.063132;0.06055459
174;nind.func.btotal;0.285960079;NA;NA;-0.3482923;NA;4;                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;-128.0307;4.344015;0.05262041
175;nind.func.btotal;-0.007551272;NA;0.7583052;-0.6790021;NA;5;70.66751;-127.335;5.03969;0.03716123
176;nind.func.btotal;0.218416426;NA;NA;0.2931207;-0.7284508;5;70.28197;-126.5639;5.810754;0.02527294
177;nind.func.brich;-0.32881767;NA;1.2140736;NA;-1.1192934;5;71.63662;-129.2732;0;0.53736466
178;nind.func.brich;0.03226711;NA;NA;NA;NA;3;66.87168;-126.3316;2.941654;0.12345168
179;nind.func.brich;0.24807257;NA;NA;NA;-0.5276079;4;68.14984;-125.7997;3.473571;0.09462211
180;nind.func.brich;-0.46116538;NA;1.2367595;0.3535886;-1.366895;6;71.827;-125.654;3.619239;0.08797543
181;nind.func.brich;-0.27566825;NA;0.5181004;NA;NA;4;67.62114;-124.7423;4.530963;0.05576774
182;nind.func.brich;0.24785752;NA;NA;-0.3510978;NA;4;67.33647;-124.1729;5.100298;0.04195208
183;nind.func.brich;-0.07903;NA;0.8490001;-0.7251024;NA;5;69.05303;-124.1061;5.167183;0.0405723
184;nind.func.brich;0.15991075;NA;NA;0.2685153;-0.7070528;5;68.25652;-122.513;6.760208;0.018294
185;nind.func.brepl;-2.999534;NA;NA;NA;NA;3;89.34124;-171.2707;0;0.449070612
186;nind.func.brepl;-2.79562;NA;-0.3790696;NA;NA;4;90.18179;-169.8636;1.407134;0.222207883
187;nind.func.brepl;-2.952791;NA;NA;NA;-0.16965247;4;89.54795;-168.5959;2.674811;0.117892685
188;nind.func.brepl;-2.921003;NA;NA;-0.19280269;NA;4;89.45339;-168.4068;2.863932;0.107255509
189;nind.func.brepl;-2.808076;NA;-0.3912356;0.03374699;NA;5;90.18708;-166.3742;4.896568;0.038818465
190;nind.func.brepl;-2.794329;NA;-0.3688116;NA;-0.02072962;5;90.18441;-166.3688;4.901895;0.038715204
191;nind.func.brepl;-2.979353;NA;NA;0.09367961;-0.21334671;5;89.55698;-165.114;6.156758;0.020672435
192;nind.func.brepl;-2.829586;NA;-0.3728311;0.10321405;-0.08367115;6;90.20849;-162.417;8.853745;0.005367208
