"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","sep"
"1",0,0.835578749011244,1,1,0.958611163602001,1,0.748946538139061,0.268475449130899,0.994691063281363,0.409700011134645,0.489239959593801,0.870967741935484,0.927053926135395,0.612903225806452,0.32258064516129,0.953693689833844,1,0.829707762518156,0.8059526878112,0.903225806451613,0.963275159008905,"tab"
"2",0.835578749011244,0,1,1,0.888888888888889,1,0.499449813633489,0.835578749011244,0.875,0.779738693262517,0.884046857760055,0.5,0.777777777777778,0.679968123299138,0.797997632039655,0.888693554952993,1,0.757752802164094,0.313859626429419,0.625,0.75,"tab"
"3",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"4",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"5",0.958611163602001,0.888888888888889,1,1,0,1,0.818181818181818,0.96875,0.94030796294359,0.982231450103762,0.978260869565217,0.939576304626173,0.633176105466228,0.974968416704791,0.983801569453123,0.906540884372982,1,0.909090909090909,0.964601349681109,0.926604601308938,0.646769320981197,"tab"
"6",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"7",0.748946538139061,0.499449813633489,1,1,0.818181818181818,1,0,0.763112030965894,0.909090909090909,0.671009156705111,0.833049763230415,0.636363636363636,0.727272727272727,0.530018149989726,0.697785203214214,0.913612994823823,1,0.683504591700877,0.394051047928979,0.727272727272727,0.818181818181818,"tab"
"8",0.268475449130899,0.835578749011244,1,1,0.96875,1,0.763112030965894,0,0.994691063281363,0.419390904766073,0.329641292470693,0.870967741935484,0.9375,0.612903225806452,0.356166540956715,0.966665970766492,1,0.842786167844443,0.8059526878112,0.903225806451613,0.963275159008905,"tab"
"9",0.994691063281363,0.875,1,1,0.94030796294359,1,0.909090909090909,0.994691063281363,0,0.991478557370377,0.996312784298504,0.965019989011029,0.955889237524757,0.986829656548044,0.992259230566037,0.94030796294359,1,0.984397687226256,0.875,0.955889237524757,0.453853688540875,"tab"
"10",0.409700011134645,0.779738693262517,1,1,0.982231450103762,1,0.671009156705111,0.419390904766073,0.991478557370377,0,0.597517711299454,0.789473684210526,0.9,0.368421052631579,0.134381343024777,0.949916942274636,1,0.797990049310364,0.693254728889211,0.842105263157895,0.973827019589145,"tab"
"11",0.489239959593801,0.884046857760055,1,1,0.978260869565217,1,0.833049763230415,0.329641292470693,0.996312784298504,0.597517711299454,0,0.911111111111111,0.956521739130435,0.733333333333333,0.553690139777563,0.97822573104182,1,0.888729075322303,0.864172675580964,0.933333333333333,0.974493497000645,"tab"
"12",0.870967741935484,0.5,1,1,0.939576304626173,1,0.636363636363636,0.870967741935484,0.965019989011029,0.789473684210526,0.911111111111111,0,0.6,0.666666666666667,0.80952380952381,0.79962021741583,1,0.833025655339317,0.5,0.25,0.906929992007006,"tab"
"13",0.927053926135395,0.777777777777778,1,1,0.633176105466228,1,0.727272727272727,0.9375,0.955889237524757,0.9,0.956521739130435,0.6,0,0.846153846153846,0.909090909090909,0.749505452297569,1,0.916523835003513,0.777777777777778,0.5,0.886197673725204,"tab"
"14",0.612903225806452,0.679968123299138,1,1,0.974968416704791,1,0.530018149989726,0.612903225806452,0.986829656548044,0.368421052631579,0.733333333333333,0.666666666666667,0.846153846153846,0,0.428571428571429,0.922945859939644,1,0.717275741281893,0.536087887666134,0.75,0.962127045802912,"tab"
"15",0.32258064516129,0.797997632039655,1,1,0.983801569453123,1,0.697785203214214,0.356166540956715,0.992259230566037,0.134381343024777,0.553690139777563,0.80952380952381,0.909090909090909,0.428571428571429,0,0.954470274933254,1,0.813454182350007,0.720326034913614,0.857142857142857,0.976157195039408,"tab"
"16",0.953693689833844,0.888693554952993,1,1,0.906540884372982,1,0.913612994823823,0.966665970766492,0.94030796294359,0.949916942274636,0.97822573104182,0.79962021741583,0.749505452297569,0.922945859939644,0.954470274933254,0,1,0.8,0.888693554952993,0.749505452297569,0.853581397770603,"tab"
"17",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"18",0.829707762518156,0.757752802164094,1,1,0.909090909090909,1,0.683504591700877,0.842786167844443,0.984397687226256,0.797990049310364,0.888729075322303,0.833025655339317,0.916523835003513,0.717275741281893,0.813454182350007,0.8,1,0,0.771941027922574,0.869331917289199,0.892070204246825,"tab"
"19",0.8059526878112,0.313859626429419,1,1,0.964601349681109,1,0.394051047928979,0.8059526878112,0.875,0.693254728889211,0.864172675580964,0.5,0.777777777777778,0.536087887666134,0.720326034913614,0.888693554952993,1,0.771941027922574,0,0.625,0.845014284594236,"tab"
"20",0.903225806451613,0.625,1,1,0.926604601308938,1,0.727272727272727,0.903225806451613,0.955889237524757,0.842105263157895,0.933333333333333,0.25,0.5,0.75,0.857142857142857,0.749505452297569,1,0.869331917289199,0.625,0,0.886197673725204,"tab"
"21",0.963275159008905,0.75,1,1,0.646769320981197,1,0.818181818181818,0.963275159008905,0.453853688540875,0.973827019589145,0.974493497000645,0.906929992007006,0.886197673725204,0.962127045802912,0.976157195039408,0.853581397770603,1,0.892070204246825,0.845014284594236,0.886197673725204,0,"tab"
