"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","sep"
"1",0,0.111111111111111,0.375,0,0,0.230769230769231,0.307692307692308,0.153846153846154,0.111111111111111,0.166666666666667,0.25,0.1,0.25,0.285714285714286,0.0769230769230769,0.0833333333333333,0,0.1,0.25,0.0909090909090909,"tab"
"2",0.111111111111111,0,0.285714285714286,0.125,0.111111111111111,0.363636363636364,0.416666666666667,0.272727272727273,0.222222222222222,0.272727272727273,0.363636363636364,0.222222222222222,0.142857142857143,0.384615384615385,0.181818181818182,0.2,0.0909090909090909,0.222222222222222,0.333333333333333,0.2,"tab"
"3",0.375,0.285714285714286,0,0.375,0.375,0.545454545454545,0.583333333333333,0.5,0.444444444444444,0.454545454545455,0.545454545454545,0.444444444444444,0.166666666666667,0.538461538461538,0.4,0.444444444444444,0.3,0.444444444444444,0.545454545454545,0.444444444444444,"tab"
"4",0,0.125,0.375,0,0,0.272727272727273,0.333333333333333,0.181818181818182,0.1,0.181818181818182,0.272727272727273,0.1,0.25,0.307692307692308,0.0833333333333333,0.1,0,0.1,0.25,0.1,"tab"
"5",0,0.111111111111111,0.375,0,0,0.230769230769231,0.285714285714286,0.166666666666667,0.0909090909090909,0.153846153846154,0.230769230769231,0.0909090909090909,0.222222222222222,0.285714285714286,0.0909090909090909,0.1,0,0.0909090909090909,0.230769230769231,0.1,"tab"
"6",0.230769230769231,0.363636363636364,0.545454545454545,0.272727272727273,0.230769230769231,0,0.0769230769230769,0.0769230769230769,0.153846153846154,0.0769230769230769,0,0.153846153846154,0.454545454545455,0.0714285714285714,0.133333333333333,0.153846153846154,0.230769230769231,0.153846153846154,0,0.153846153846154,"tab"
"7",0.307692307692308,0.416666666666667,0.583333333333333,0.333333333333333,0.285714285714286,0.0769230769230769,0,0.153846153846154,0.230769230769231,0.142857142857143,0.0714285714285714,0.214285714285714,0.5,0,0.1875,0.214285714285714,0.307692307692308,0.214285714285714,0.0666666666666667,0.230769230769231,"tab"
"8",0.153846153846154,0.272727272727273,0.5,0.181818181818182,0.166666666666667,0.0769230769230769,0.153846153846154,0,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0.363636363636364,0.133333333333333,0.0714285714285714,0.0833333333333333,0.181818181818182,0.0769230769230769,0.0714285714285714,0.0833333333333333,"tab"
"9",0.111111111111111,0.222222222222222,0.444444444444444,0.1,0.0909090909090909,0.153846153846154,0.230769230769231,0.0769230769230769,0,0.0833333333333333,0.166666666666667,0,0.333333333333333,0.214285714285714,0,0,0.0833333333333333,0,0.166666666666667,0,"tab"
"10",0.166666666666667,0.272727272727273,0.454545454545455,0.181818181818182,0.153846153846154,0.0769230769230769,0.142857142857143,0,0.0833333333333333,0,0.0909090909090909,0.0833333333333333,0.363636363636364,0.153846153846154,0.0714285714285714,0.0769230769230769,0.166666666666667,0.0833333333333333,0.0714285714285714,0.0769230769230769,"tab"
"11",0.25,0.363636363636364,0.545454545454545,0.272727272727273,0.230769230769231,0,0.0714285714285714,0.0769230769230769,0.166666666666667,0.0909090909090909,0,0.166666666666667,0.454545454545455,0.0714285714285714,0.133333333333333,0.153846153846154,0.230769230769231,0.166666666666667,0,0.153846153846154,"tab"
"12",0.1,0.222222222222222,0.444444444444444,0.1,0.0909090909090909,0.153846153846154,0.214285714285714,0.0769230769230769,0,0.0833333333333333,0.166666666666667,0,0.333333333333333,0.230769230769231,0,0,0.0769230769230769,0,0.166666666666667,0,"tab"
"13",0.25,0.142857142857143,0.166666666666667,0.25,0.222222222222222,0.454545454545455,0.5,0.363636363636364,0.333333333333333,0.363636363636364,0.454545454545455,0.333333333333333,0,0.461538461538462,0.272727272727273,0.3,0.181818181818182,0.333333333333333,0.416666666666667,0.3,"tab"
"14",0.285714285714286,0.384615384615385,0.538461538461538,0.307692307692308,0.285714285714286,0.0714285714285714,0,0.133333333333333,0.214285714285714,0.153846153846154,0.0714285714285714,0.230769230769231,0.461538461538462,0,0.2,0.214285714285714,0.285714285714286,0.230769230769231,0.0666666666666667,0.214285714285714,"tab"
"15",0.0769230769230769,0.181818181818182,0.4,0.0833333333333333,0.0909090909090909,0.133333333333333,0.1875,0.0714285714285714,0,0.0714285714285714,0.133333333333333,0,0.272727272727273,0.2,0,0,0.0769230769230769,0,0.142857142857143,0,"tab"
"16",0.0833333333333333,0.2,0.444444444444444,0.1,0.1,0.153846153846154,0.214285714285714,0.0833333333333333,0,0.0769230769230769,0.153846153846154,0,0.3,0.214285714285714,0,0,0.0833333333333333,0,0.166666666666667,0,"tab"
"17",0,0.0909090909090909,0.3,0,0,0.230769230769231,0.307692307692308,0.181818181818182,0.0833333333333333,0.166666666666667,0.230769230769231,0.0769230769230769,0.181818181818182,0.285714285714286,0.0769230769230769,0.0833333333333333,0,0.0769230769230769,0.230769230769231,0.0909090909090909,"tab"
"18",0.1,0.222222222222222,0.444444444444444,0.1,0.0909090909090909,0.153846153846154,0.214285714285714,0.0769230769230769,0,0.0833333333333333,0.166666666666667,0,0.333333333333333,0.230769230769231,0,0,0.0769230769230769,0,0.166666666666667,0,"tab"
"19",0.25,0.333333333333333,0.545454545454545,0.25,0.230769230769231,0,0.0666666666666667,0.0714285714285714,0.166666666666667,0.0714285714285714,0,0.166666666666667,0.416666666666667,0.0666666666666667,0.142857142857143,0.166666666666667,0.230769230769231,0.166666666666667,0,0.166666666666667,"tab"
"20",0.0909090909090909,0.2,0.444444444444444,0.1,0.1,0.153846153846154,0.230769230769231,0.0833333333333333,0,0.0769230769230769,0.153846153846154,0,0.3,0.214285714285714,0,0,0.0909090909090909,0,0.166666666666667,0,"tab"
