"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","alpha.plot3.all","alpha.plot3.inv","plot3.all.btotal","plot3.all.brich","plot3.all.brepl","plot3.inv.btotal","plot3.inv.brich","plot3.inv.brepl"
"2017.guil.moniz.0","Guilherme_moniz","12","0","0","0.355279496760108","0","0","5","1","0","0","0","0","0","0"
"2017.serreta.0","Lagoinha","12","0","0","0.355279496760108","0","0","11","1","0.917431192660551","0.073394495412844","0.844036697247706","0.888888888888889","0.444444444444444","0.444444444444444"
"2017.serreta.50","Lagoinha","12","50","50","0.355279496760108","0.437499572754532","0.152183322905007","9","0","0.962616822429907","0.14018691588785","0.822429906542056","1","1","0"
"2017.serreta.250","Lagoinha","12","250","250","0.355279496760108","2.18749786377266","0.760916614525034","10","1","0.941666666666667","0.00833333333333333","0.933333333333333","0.882352941176471","0.529411764705882","0.352941176470588"
"2017.serreta.control50","Lagoinha","70","293","300","2.07246373110063","2.56374749634156","0.91309993743004","14","3","0","0","0","0","0","0"
"2017.mist.negros.0","Mistérios_Negros","12","0","0","0.355279496760108","0","0","9","0","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429"
"2017.mist.negros.50","Mistérios_Negros","12","-25","50","0.355279496760108","-0.218749786377266","0.152183322905007","6","0","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538"
"2017.mist.negros.250","Mistérios_Negros","12","0","250","0.355279496760108","0","0.760916614525034","5","0","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667"
"2017.mist.negros.max","Mistérios_Negros","12","25","960","0.355279496760108","0.218749786377266","2.92191979977613","6","0","0.5","0.5","0.5","0.5","0.5","0.5"
"2017.mist.negros.control50","Mistérios_Negros","70","70","200","2.07246373110063","0.612499401856345","0.608733291620027","8","0","0","0","0","0","0","0"
"2017.malhadas.0","Pico_Vara","12","0","0","0.355279496760108","0","0","5","0","0.902777777777778","0.597222222222222","0.305555555555556","1","1","0"
"2017.malhadas.50","Pico_Vara","12","14","50","0.355279496760108","0.122499880371269","0.152183322905007","12","2","0.747474747474748","0.0202020202020202","0.727272727272727","0.714285714285714","0.714285714285714","0"
"2017.malhadas.250","Pico_Vara","12","0","250","0.355279496760108","0","0.760916614525034","7","2","0.803030303030303","0.651515151515151","0.151515151515152","0.764705882352941","0.411764705882353","0.352941176470588"
"2017.malhadas.max","Pico_Vara","12","80","400","0.355279496760108","0.699999316407251","1.21746658324005","14","2","0.483870967741935","0.204301075268817","0.279569892473118","0.235294117647059","0.117647058823529","0.117647058823529"
"2017.malhadas.control50","Pico_Vara","70","124","50","2.07246373110063","1.08499894043124","0.152183322905007","13","2","0","0","0","0","0","0"
"2019.guil.moniz.0","Guilherme_moniz","12","0","0","0.355279496760108","0","0","8","0","0","0","0","0","0","0"
"2019.serreta.0","Lagoinha","12","0","0","0.355279496760108","0","0","13","2","0.829457364341085","0.0542635658914729","0.775193798449612","0.875","0.875","0"
"2019.serreta.50","Lagoinha","12","50","50","0.355279496760108","0.437499572754532","0.152183322905007","12","1","0.875","0.259615384615385","0.615384615384615","1","0.714285714285714","0.285714285714286"
"2019.serreta.250","Lagoinha","12","200","250","0.355279496760108","1.74999829101813","0.760916614525034","11","1","0.909090909090909","0","0.909090909090909","1","0.714285714285714","0.285714285714286"
"2019.serreta.control 50","Lagoinha","70","293","300","2.07246373110063","2.56374749634156","0.91309993743004","14","1","0","0","0","0","0","0"
"2019.mist.negros.0","Mistérios_Negros","12","0","0","0.355279496760108","0","0","8","1","0.891089108910891","0.217821782178218","0.673267326732673","1","1","0"
"2019.mist.negros.50","Mistérios_Negros","12","-25","50","0.355279496760108","-0.218749786377266","0.152183322905007","5","0","0.703703703703704","0.358024691358025","0.345679012345679","0","0","0"
"2019.mist.negros.250","Mistérios_Negros","12","0","250","0.355279496760108","0","0.760916614525034","6","0","0.633333333333333","0.122222222222222","0.511111111111111","0","0","0"
"2019.mist.negros.max","Mistérios_Negros","12","25","960","0.355279496760108","0.218749786377266","2.92191979977613","7","0","0.860215053763441","0.301075268817204","0.559139784946237","0","0","0"
"2019.mist.negros.control50","Mistérios_Negros","70","70","200","2.07246373110063","0.612499401856345","0.608733291620027","9","0","0","0","0","0","0","0"
