"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","TAlphaAll","TAlphaNat","TAlphaNInd","FAlphaAll","FAlphaNat","FAlphaNInd","BetaAllTotalVector","BetaAllRichVector","BetaAllReplVector","BetaFuncAllTotalVector","BetaFuncAllRichVector","BetaFuncAllReplVector","BetaNatTotalVector","BetaNatRichVector","BetaNatReplVector","BetaFuncNatTotalVector","BetaFuncNatRichVector","BetaFuncNatReplVector","BetaNIndTotalVector","BetaNIndRichVector","BetaNIndReplVector","BetaFuncNIndTotalVector","BetaFuncNIndRichVector","BetaFuncNIndReplVector"
"Guil_Moniz_0","Guilherme_Moniz","0","0","0","0","0","0","23","12","11","8.63697976679268","2.72573363958654","1.84084656122554","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Lagoinha_0","Lagoinha","0","0","50","0","0","0.0948227054577699","11","8","3","4.76276966742704","2.03394056655555","1.08692089074638","0.642857142857143","0.214285714285714","0.428571428571429","0.493678354371902","0.253163301786235","0.240515052585667","0.9999","0.9999","1e-04","0.531159763923735","0.30654057100722","0.224619192916515","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Lagoinha_50","Lagoinha","0","0","250","0","0","0.474113527288849","7","7","0","3.47504363041179","1.86661785045505","0","0.333333333333333","0.111111111111111","0.222222222222222","0.310429498255131","0.0246652627991952","0.285764235455936","1e-04","1e-04","1e-04","0.370808859315419","0.0237838122727676","0.347025047042652","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Lagoinha_250","Lagoinha","0","0","250","0","0","0.474113527288849","5","5","0","2.50719640177466","1.51232275954594","0","0.375","0.375","1e-04","0.470304688813709","0.131458190805072","0.338846498008637","1e-04","1e-04","1e-04","0.547347027047068","0.124837364863143","0.422509662183925","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Lagoinha_Control_50","Lagoinha","50","293","250","0.312278982254352","0.963188570390537","0.474113527288849","10","8","2","4.57189632532877","2.01604042083482","1.03530410639027","0.5","0.166666666666667","0.333333333333333","0.45104273002826","0.315155808176068","0.135886921852192","0.9999","0.9999","1e-04","0.437267875001063","0.334383729803266","0.102884145197797","0.9999","0.9999","1e-04","0.9999","0.9999","1e-04"
"Lagoinha _Control_250","Lagoinha","235","50","250","1.46771121659545","0.164366650237293","0.474113527288849","8","8","0","3.74811462049573","1.9174733781492","0","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04","1e-04"
"Mist Negros_0","Mistérios_Negros","0","0","0","0","0","0","17","10","7","7.05595963557245","2.36588736108574","2.12339700466116","0.5","0.2","0.3","0.558434848758489","0.256278249109602","0.302156599648887","0.75","0.5","0.25","0.630393985612171","0.0964511277737908","0.53394285783838","0.75","0.5","0.25","0.799110132382125","0.695252028620875","0.10385810376125"
"Mist Negros_250","Mistérios_Negros","0","0","200","0","0","0.37929082183108","16","11","5","6.18866690206914","2.42572105694535","1.16184179600553","0.388888888888889","0.166666666666667","0.222222222222222","0.279218128435877","0.0674816420221225","0.211736486413755","0.4","0.4","1e-04","0.361014278094732","0.007157142890416","0.353857135204316","0.4","0.4","1e-04","0.297349379596885","0.287460494353773","0.00988888524311217"
"Mist Negros_Max","Mistérios_Negros","0","25","960","0","0.0821833251186465","1.82059594478918","11","10","1","4.41937509700309","2.11368283728599","0.517652053195136","0.588235294117647","0.117647058823529","0.470588235294118","0.524762072359241","0.315318030335429","0.209444042023812","0.9999","0.5","0.5","0.359238315152192","0.0911534269359894","0.268084888216203","0.9999","0.5","0.5","0.989237235711962","0.96681655714508","0.0224206785668823"
"Mist Negros_Control_50","Mistérios_Negros","50","50","200","0.312278982254352","0.164366650237293","0.37929082183108","11","9","2","4.45525602778282","2.15008940959268","0.822822779698482","0.5","0.125","0.375","0.314808358061072","0.0413543961212007","0.273453961939871","0.75","0.25","0.5","0.409362646631123","0.206418587841763","0.202944058789361","0.75","0.25","0.5","0.584764392533688","0.574939465533189","0.0098249270004985"
