;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
62;abund.nat;4.840756;NA;NA;NA;0.029324709;3;-153.6051;314.622;16.857432;0.0001794161
63;abund.nat;4.874811;NA;-0.05372296;NA;NA;3;-153.731;314.8737;17.109113;0.0001582011
64;abund.nat;4.822414;NA;NA;0.06025388;-0.006865214;4;-152.677;315.854;18.089408;9.690386e-05
65;abund.nind;1.988769;NA;0.4281363;NA;NA;3;-107.698;222.8078;0;0.404421769
66;abund.nind;2.119825;NA;NA;NA;0.21520933;3;-108.0816;223.5749;0.7671374;0.2755832048
67;abund.nind;1.962482;NA;0.6044956;-0.12011543;NA;4;-107.3524;225.2047;2.3968968;0.1219986397
68;abund.nind;2.009109;NA;0.3613313;NA;0.03547382;4;-107.684;225.868;3.0601578;0.0875648271
69;abund.nind;2.138936;NA;NA;-0.08125978;0.27584668;4;-107.9116;226.3233;3.5154501;0.0697371559
70;abund.nind;2.005715;NA;0.4734081;-0.13262852;0.07943109;5;-107.2857;228.5714;5.7635728;0.0226616016
71;abund.nind;2.089045;NA;NA;0.21087882;NA;3;-110.8354;229.0827;6.2748565;0.0175495806
72;abund.nind;2.201737;NA;NA;NA;NA;2;-115.8003;236.2673;13.4594774;0.0004832214
73;prop.Talpha;1.708011;NA;NA;NA;NA;3;25.2288;-43.04584;0;0.34102145
74;prop.Talpha;1.566253;NA;NA;NA;0.463315;4;26.63058;-42.76116;0.2846753;0.29577758
75;prop.Talpha;1.535003;NA;NA;0.32792772;NA;4;25.69346;-40.88693;2.1589133;0.1158723
76;prop.Talpha;1.595827;NA;0.23066623;NA;NA;4;25.3931;-40.2862;2.7596366;0.08580928
77;prop.Talpha;1.801938;NA;-0.71026232;NA;0.7015399;5;27.04845;-40.09689;2.9489455;0.0780596
78;prop.Talpha;1.531938;NA;NA;0.08429314;0.4497478;5;26.64609;-39.29218;3.7536604;0.05220171
79;prop.Talpha;1.526448;NA;0.03229216;0.31586887;NA;5;25.69533;-37.39066;5.6551841;0.02017317
80;prop.Talpha;1.778648;NA;-0.80819973;0.13836056;0.6875716;6;27.09656;-36.19312;6.8527204;0.01108492
81;prop.Falpha;-0.1658975;NA;NA;NA;NA;3;28.27434;-49.13692;0;0.479986625
82;prop.Falpha;-0.218515;NA;NA;0.07237669;NA;4;28.82702;-47.15403;1.982891;0.178094185
83;prop.Falpha;-0.1842399;NA;NA;NA;0.03722512;4;28.48835;-46.4767;2.66022;0.126931554
84;prop.Falpha;-0.1903834;NA;0.05522963;NA;NA;4;28.47333;-46.44667;2.690259;0.125039368
85;prop.Falpha;-0.2218677;NA;NA;0.08822043;-0.01692745;5;28.84821;-43.69641;5.440514;0.031610877
86;prop.Falpha;-0.2167381;NA;-0.02451112;0.08464088;NA;5;28.84244;-43.68489;5.452039;0.031429235
87;prop.Falpha;-0.1900722;NA;0.03040771;NA;0.02320162;5;28.51344;-43.02688;6.110048;0.022617738
88;prop.Falpha;-0.2201151;NA;-0.01232755;0.0905877;-0.01286003;6;28.85109;-39.70218;9.434748;0.004290417
89;prop.abund;2.658673;NA;NA;NA;NA;3;42.2116;-77.01144;0;0.55388326
90;prop.abund;2.745203;NA;-0.1462506;NA;NA;4;42.2723;-74.04461;2.966836;0.125654459
91;prop.abund;2.619368;NA;NA;NA;0.08842227;4;42.25233;-74.00466;3.006786;0.123169442
92;prop.abund;4,249305556;NA;NA;0.10522713;NA;4;42.24418;-73.98836;3.023086;0.122169662
93;prop.abund;2.77122;NA;-0.3488469;NA;0.19488009;5;42.44187;-70.88374;6.127702;0.025870495
94;prop.abund;2.711767;NA;-0.2611681;0.17179151;NA;5;42.36241;-70.72481;6.286632;0.023894252
95;prop.abund;2.580829;NA;NA;0.08305301;0.07559614;5;42.26791;-70.53582;6.475624;0.021739744
96;prop.abund;2.74527;NA;-0.3980149;0.11485176;0.16978026;6;42.47488;-66.94976;10.061686;0.003618686
97;all.tax.btotal;-0.8334242;NA;NA;NA;-1.25462;4;20.94445;-31.3889;0;0.44235574
98;all.tax.btotal;-1.2502003;NA;1.13215217;NA;-1.704417;5;22.58451;-31.16903;0.2198738;0.39630237
99;all.tax.btotal;-0.9169639;NA;NA;0.2623248;-1.324713;5;21.07123;-28.14246;3.2464427;0.087260079
100;all.tax.btotal;-1.2768467;NA;1.08770423;0.1328758;-1.732316;6;22.61752;-27.23505;4.1538543;0.055433675
101;all.tax.btotal;-0.9397525;NA;NA;NA;NA;3;3,5375;-23.42703;7.9618741;0.008257958
102;all.tax.btotal;-0.6597438;NA;NA;-0.4728536;NA;4;16.78349;-23.06699;8.3219106;0.0068975
103;all.tax.btotal;-0.8048867;NA;-0.22157044;NA;NA;4;15.67119;-20.84239;10.5465146;0.002267906
104;all.tax.btotal;-0.6868281;NA;0.07433153;-0.50845;NA;5;16.80509;-19.61018;11.7787208;0.001224771
105;all.tax.brich;-2.424263;NA;NA;NA;-1.449686;4;43.59875;-76.69751;0;0.5188473974
106;all.tax.brich;-2.713243;NA;0.8819449;NA;-1.644327;5;44.89071;-75.78142;0.91609;0.328180844
107;all.tax.brich;-2.471976;NA;NA;0.173313;-1.463351;5;43.71429;-73.42858;3.268926;0.1012048783
108;all.tax.brich;-2.755635;NA;0.8707198;0.1582759;-1.679662;6;44.98918;-71.97837;4.719143;0.0490106743
109;all.tax.brich;-2.098491;NA;NA;NA;NA;3;36.22736;-65.04295;11.654563;0.0015285635
110;all.tax.brich;-1.976382;NA;NA;-0.4332536;NA;4;37.06966;-63.63932;13.058192;0.000757686
111;all.tax.brich;-2.066074;NA;-0.0538669;NA;NA;4;36.24759;-61.99519;14.702324;0.0003330202
112;all.tax.brich;-2.000797;NA;0.139893;-0.4358465;NA;5;37.10891;-60.21781;16.479699;0.0001369363
113;all.tax.brepl;-1.231276;NA;NA;NA;-0.695407;4;27.69911;-44.89823;0;0.40362654
114;all.tax.brepl;-1.467427;NA;0.6401616;NA;-0.9475322;5;29.08488;-44.16975;0.7284748;0.28040995
115;all.tax.brepl;-1.37196;NA;NA;NA;NA;3;24.71472;-42.01768;2.8805434;0.09560435
116;all.tax.brepl;-1.285813;NA;NA;0.2577448;-0.7848967;5;27.80656;-41.61312;3.2851051;0.0780959
117;all.tax.brepl;-1.138877;NA;NA;-0.4110344;NA;4;25.75689;-41.01378;3.8844459;0.05787394
118;all.tax.brepl;-1.626593;NA;0.6715042;0.3780328;-1.1600029;6;29.38185;-40.7637;4.13453;0.05107142
119;all.tax.brepl;-1.309023;NA;-0.1041158;NA;NA;4;24.77665;-39.0533;5.8449264;0.02171551
120;all.tax.brepl;-1.204047;NA;0.1829509;-0.5037777;NA;5;25.89983;-37.79967;7.0985581;0.01160239
121;nat.tax.btotal;-1.0375725;NA;NA;NA;-1.26456;4;22.71965;-34.9393;0;0.44415343
122;nat.tax.btotal;-1.4309742;NA;1.07269766;NA;-1.662383;5;24.36543;-34.73086;0.2084392;0.400194419
123;nat.tax.btotal;-1.1106415;NA;NA;0.2242631;-1.317621;5;22.81905;-31.6381;3.3012013;0.085248408
124;nat.tax.btotal;-1.4598398;NA;1.03943489;0.125882;-1.690647;6;24.39802;-30.79604;4.1432644;0.055954444
125;nat.tax.btotal;-1.1018642;NA;NA;NA;NA;3;16.90888;-26.40599;8.533314;0.006230852
126;nat.tax.btotal;-0.826828;NA;NA;-0.4722862;NA;4;18.33198;-26.16397;8.7753365;0.005520684
