;Sampl;Ind;Obs;S1;S2;Q1;Q2;Jack1ab;Jack1abP;Jack1in;Jack1inP;Jack2ab;Jack2abP;Jack2in;Jack2inP;Chao1;Chao1P;Chao2;Chao2P
Lagoinha;11;103,68;12,09,00;2,57,00;1,12,00;3,59,00;0,140972222;0,629166667;15,47604297;15,35363636;17,15186209;16,11,00;17,05538909;0,810416667;18,27029823;13,74833333;14,55402968;14,49555952;16,37654716
Lagoinha;12;04/01/1900  18,33,00;12,43,00;2,56,00;1,07,00;3,36,00;0,138194444;0,652083333;15,75075327;15,51,00;16,95869709;16,48,00;17,35727541;16,19636364;17,82407438;14,05916667;14,80830028;14,25080952;15,64716804
Lagoinha;13;05/01/1900  5,02,00;0,546527778;2,54,00;1,08,00;3,25,00;0,129166667;15,21,00;15,95189254;0,671527778;16,97611998;0,713194444;17,5240938;16,35679487;17,80828303;14,27833333;15,00169;14,33361905;15,5643654
Lagoinha;14;134,71;12,09,00;2,51,00;1,09,00;3,04,00;0,135416667;15,41,00;16,08923843;15,72285714;16,78583414;0,724305556;17,60104633;16,15274725;17,30151309;3,447916667;15,06617904;14,15830952;15,11974967
Lagoinha;15;05/01/1900  23,59,00;13,08,00;2,05,00;1,08,00;2,09,00;0,138194444;15,58,00;16,23682305;15,78666667;16,70764287;17;17,74570894;16,05471429;17,03871394;14,57916667;15,20797561;14,19802381;15,0315966
Lagoinha;16;06/01/1900  9,31,00;13,26,00;2,44,00;1,01,00;0,135416667;2,08,00;15,07,00;16,30967601;15,838125;16,6384194;17,04,00;17,72741637;15,95770833;16,80282775;4,975694444;15,21711063;14,21952381;14,94185858
Lagoinha;17;162,64;13,42,00;2,03,00;1,18,00;2,59,00;0,140972222;0,675;16,2478471;15,85764706;16,55117872;0,725;17,42945498;15,80194853;16,53046707;14,63583333;15,14179082;14,24671429;14,87414911
Lagoinha;18;07/01/1900  4,39,00;13,59,00;2,03,00;1,16,00;2,53,00;0,136111111;0,686805556;16,39355956;15,97944444;16,60242724;17,03,00;17,58724544;15,91931373;16,56790814;14,70916667;15,18416273;14,35364286;14,91434128
Lagoinha;19;07/01/1900  13,53,00;13,07,00;2,27,00;1,15,00;2,46,00;0,133333333;0,692361111;16,45077733;16,03052632;16,60748721;17,09,00;17,61948889;15,93309942;16,53153376;14,74166667;15,19418527;14,40045238;14,92183541
Lagoinha;20;192,75;0,599305556;2,17,00;1,11,00;2,31,00;0,136111111;16;16,42707595;0,836805556;16,52276067;17,06,00;17,52629825;15,75023684;16,25891538;14,70083333;15,09819829;14,38333333;14,83051994
Lagoinha;21;201,61;0,608333333;2,13,00;1;2,21,00;0,140277778;16,09,00;16,48215795;16,0647619;16,49024163;17,22,00;17,64644367;15,64042857;16,06338651;1,114583333;15,12896691;3,177083333;14,75326266
Lagoinha;22;209;14;2;1;2;3;16;16,32653061;15,90909091;16,23376623;17;17,34693878;15,12987013;15,43864299;14,05,00;14,79591837;14,25,00;14,54081633
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Malhadas;1;9,28,00;3,48,00;1,08,00;0,047916667;3,48,00;0;5,28,00;7,351904422;3,48,00;0,316666667;6,39,00;9,208035034;10,44,00;0,894444444;4,391666667;6,157447449;0,392361111;17,07,00
Malhadas;2;18,01,00;0,274305556;0,136111111;1,08,00;5,05,00;0,09,00;0,382638889;11,03297702;0,663194444;15,17722736;10,39,00;13,34257865;0,663194444;15,17722736;7,940833333;10,14419635;17,20283333;32,51097403
