;ForestID;Dist_trail;Dist_edge;Dist_trail_beginning;Dist_trail_std;Dist_edge_std;Dist_trail_beginning_std;TAlphaAll;TAlphaNat;TAlphaNInd;TAlphaEnd;FAlphaAll;FAlphaNat;FAlphaNInd;FAlphaEnd;abund.all;abund.nat;abund.nind;abund.end;prop.Talpha;prop.Falpha;prop.abund;prop.end;all.tax.btotal;all.tax.brich;all.tax.brepl;nat.tax.btotal;nat.tax.brich;nat.tax.brepl;nind.tax.btotal;nind.tax.brich;nind.tax.brepl;end.tax.btotal;end.tax.brich;end.tax.brepl;all.func.btotal;all.func.brich;all.func.brepl;nat.func.btotal;nat.func.brich;nat.func.brepl;nind.func.btotal;nind.func.brich;nind.func.brepl;end.func.btotal;end.func.brich;end.func.brepl
1;Lagoinha;0;0;250;0;0;0.474113527288849;5;5;0;3;2.50719640177466;2.50719640177466;1,00E-04;1.45881343325951;117;117;0;105;1,00E-04;6,94375;1,00E-04;0.897435897435897;0,260416667;0,260416667;0.001;0,260416667;0,260416667;0.001;0.001;0.001;0.001;0.05;0.05;0.001;0.470304688813709;0.131458190805072;0.338846498008637;0.470304688813709;0.131458190805072;0.338846498008637;0.001;0.001;0.001;0.432562894510218;0.0435399195969384;0.389022974913279
2;Lagoinha;50;293;250;0.312278982254352;0.963188570390537;0.474113527288849;10;8;2;5;4.57189632532877;3.64911762384372;1.29114380316797;2.42666066189663;92;90;2;81;0.02;0.798162811266572;0.0217391304347826;0.880434782608696;0.05;0.166666666666667;0.333333333333333;0.04;0.001;0.04;0,69375;0,69375;0.001;0.428571428571429;0.142857142857143;0.285714285714286;0.45104273002826;0.315155808176068;0.135886921852192;0.447449301621957;0.332205171268664;0.115244130353293;0,69375;0,69375;0.001;0.38655462184874;0.252100840336134;0.134453781512605
3;Lagoinha;235;50;250;1.46771121659545;0.164366650237293;0.474113527288849;8;8;0;6;3.74811462049573;3.74811462049573;1,00E-04;2.73620838852075;139;139;0;111;1,00E-04;6,94375;1,00E-04;0.798561151079137;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
4;Mistérios_Negros;0;0;0;0;0;0;17;10;7;6;7.05595963557245;4.81102385755414;2.98364662991451;2.96313812700933;111;99;12;64;0.411764705882353;0.681838347444546;0.108108108108108;0.576576576576577;0.05;0.02;0.03;0.333333333333333;0.001;0.333333333333333;0,052083333;0.05;0.25;0.142857142857143;0.142857142857143;0.001;0.558434848758489;0.256278249109602;0.302156599648887;0.525600147220703;0.0964560651350942;0.429144082085608;0.833049763230415;0.708505500895819;0.124544262334596;0.624341417155371;0.169601743090434;0.454739674064938
5;Mistérios_Negros;0;0;200;0;0;0.37929082183108;16;11;5;6;6.18866690206914;4.84128800250539;1.76385055049705;2.96313812700933;147;115;32;94;2,170138889;0.782282853337403;0.217687074829932;0.639455782312925;0.388888888888889;0.166666666666667;0.222222222222222;0.384615384615385;0.0769230769230769;0.307692307692308;0.04;0.04;0.001;0.142857142857143;0.142857142857143;0.001;0.279218128435877;0.0674816420221225;0.211736486413755;0.344669133266582;0.0143941814498558;0.330274951816726;0.329641292470693;0.307697656650135;0.0219436358205576;0.380890454537368;0.110393832645179;0.270496621892189
6;Mistérios_Negros;0;25;960;0;0.0821833251186465;1.82059594478918;11;10;1;6;4.41937509700309;4.06223173781867;0.645571901583985;2.65339429236993;103;102;1;71;0.0909090909090909;0.919186909609323;0.00970873786407767;0.689320388349515;0.588235294117647;0.117647058823529;0.470588235294118;0.461538461538462;0.001;0.461538461538462;0,69375;0.05;0.05;0,260416667;0,086805556;0.25;0.524762072359241;0.315318030335429;0.209444042023812;0.36753318328109;0.0906926009288283;0.276840582352262;0.996312784298504;0.960048641105779;0.0362641431927251;0.301358591484897;0.122124545710236;0.179234045774661
7;Mistérios_Negros;50;50;200;0.312278982254352;0.164366650237293;0.37929082183108;11;9;2;5;4.45525602778282;3.88509658548874;1.07043293018359;2.42666066189663;167;148;19;128;0.181818181818182;0.872025437205273;0.11377245508982;0.766467065868264;0.05;0,086805556;0,260416667;0.416666666666667;0.0833333333333333;0.333333333333333;0,052083333;0.25;0.05;0.285714285714286;0.285714285714286;0.001;0.314808358061072;0.0413543961212007;0.273453961939871;0.379192408681528;0.210333809560412;0.168858599121116;0.597517711299454;0.569758429784597;0.0277592815148579;0.436680211568298;0.342441477465992;0.0942387341023059
8;Mistérios_Negros;600;600;1880;3.74734778705222;1.97239980284752;3.56533372521215;13;10;3;7;5.15750373308318;4.09175772363705;1.44157522344391;3.40577822680265;159;114;45;82;0.230769230769231;0.793360108959335;0.283018867924528;0.515723270440252;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
9;Santa_Barbara;0;510;0;0;1.67653983242039;0;12;11;1;7;4.87747316241427;4.59175845220956;0.645571901583985;3.40577822680265;134;130;4;115;0.0833333333333333;0.941421572053656;0.0298507462686567;0.858208955223881;0.05;0.214285714285714;0.285714285714286;0.461538461538462;0.153846153846154;0.307692307692308;0,69375;0,69375;0.001;0.05;0.25;0.25;0.52604923786008;0.102357691815272;0.423691546044807;0.533231539927137;0.12395226423151;0.409279275695628;0,69375;0,69375;0.001;0.560525416301376;0.11515796669589;0.445367449605486
10;Santa_Barbara;0;481;50;0;1.58120717528276;0.0948227054577699;11;9;2;6;4.82649973814749;4.02689533243883;1.29114380316797;2.80443837049174;66;63;3;43;0.181818181818182;0.834330374165613;0.0454545454545455;0.651515151515151;0.571428571428571;0.142857142857143;0.428571428571429;0.05;0.001;0.05;0,69375;0,69375;0.001;0.428571428571429;0.142857142857143;0.285714285714286;0.657288845743619;0.537084461702552;0.120204384041067;0.660183251545154;0.561858636448806;0.0983246150963476;0,69375;0,69375;0.001;0.724793017700598;0.659095743660365;0.0656972740402333
11;Santa_Barbara;0;436;250;0;1.4332771900692;0.474113527288849;7;6;1;4;3.43848301356336;3.15276830335865;0.645571901583985;2.1043853348435;188;176;12;145;0.142857142857143;0.916906755369246;0.0638297872340425;0.771276595744681;0.545454545454545;0.181818181818182;0.363636363636364;0.05;0.03;0.02;0,69375;0,69375;0.001;0.05;0.166666666666667;0.333333333333333;0.526673868273914;0.146471018943529;0.380202849330385;0.522867941878131;0.0984754705414579;0.424392471336673;0,69375;0,69375;0.001;0.534750647461325;0.0523303340192384;0.482420313442086
12;Santa_Barbara;0;404;401;0;1.32808253391733;0.760478097771315;14;11;3;8;5.24871291170179;4.67887096393655;1.07043293018359;3.75955799869984;207;184;23;169;0.214285714285714;0.8914320601352;0.111111111111111;0.816425120772947;3,90625;2,170138889;0.25;0.461538461538462;0.153846153846154;0.307692307692308;0,69375;0,69375;0.001;0,260416667;0,260416667;0.001;0.587099674005036;0.207434119882917;0.379665554122119;0.57629548599296;0.133995718965368;0.442299767027592;0,69375;0,69375;0.001;0.590806422870379;0.157607176389497;0.433199246480882
13;Santa_Barbara;50;441;401;0.312278982254352;1.44971385509292;0.760478097771315;10;9;1;6;3.91363196676205;3.73955797333011;0.645571901583985;2.48438731851665;115;113;2;108;0.01;0.9555211131475;0.0173913043478261;0.939130434782609;0.416666666666667;0.0833333333333333;0.333333333333333;0.363636363636364;0.001;0.363636363636364;0,69375;0,69375;0.001;0.166666666666667;0.166666666666667;0.001;0.491451738671586;0.218711457962112;0.272740280709474;0.495648278511996;0.231005320528121;0.264642957983875;0,69375;0,69375;0.001;0.464119620309945;0.170653375521117;0.293466244788827
14;Santa_Barbara;300;600;401;1.87367389352611;1.97239980284752;0.760478097771315;9;9;0;5;3.8393597765069;3.8393597765069;1,00E-04;2.19973092340806;154;154;0;135;1,00E-04;6,94375;1,00E-04;0.876623376623377;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
