"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","sep"
"1",0,0.715765093561029,1,1,0.919374026677613,1,0.587574985716647,0,0.953547338213089,0.40604807776073,0.270461383899187,0.875,0.88872822578836,0.625,0.280745611007628,0.924319344003479,1,0.646043802744618,0.72682409574567,0.90625,0.922787746657828,"tab"
"2",0.715765093561029,0,1,1,0.666666666666667,1,0.307210950181861,0.715765093561029,0.875,0.53005135804636,0.79517643685015,0.5,0.555555555555556,0.283284463790007,0.605994350606067,0.70952889508838,1,0.160730561725974,0,0.625,0.75,"tab"
"3",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"4",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"5",0.919374026677613,0.666666666666667,1,1,0,1,0.833333333333333,0.909090909090909,0.38617066168837,0.840662252734046,0.934782608695652,0.357811922621056,0.278588107771673,0.735860694123255,0.866974984341849,0,1,0.727272727272727,0.625682471621093,0.217887297776605,0.158511985065111,"tab"
"6",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"7",0.587574985716647,0.307210950181861,1,1,0.833333333333333,1,0,0.58127181485744,0.916666666666667,0.318632458833793,0.695252028620875,0.666666666666667,0.75,0,0.424523665071418,0.802805630496177,1,0.136083892010661,0.319739486233948,0.75,0.833333333333333,"tab"
"8",0,0.715765093561029,1,1,0.909090909090909,1,0.58127181485744,0,0.953547338213089,0.403449152950056,0.287460494353773,0.875,0.878787878787879,0.625,0.278813487835851,0.924319344003479,1,0.646043802744618,0.72682409574567,0.90625,0.922787746657828,"tab"
"9",0.953547338213089,0.875,1,1,0.38617066168837,1,0.916666666666667,0.953547338213089,0,0.92259506301473,0.96681655714508,0.665161242652086,0.569770602409929,0.879283587143357,0.935764663895064,0.398377073894572,1,0.856312266023469,0.875,0.569770602409929,0.370882690699416,"tab"
"10",0.40604807776073,0.53005135804636,1,1,0.840662252734046,1,0.318632458833793,0.403449152950056,0.92259506301473,0,0.574939465533189,0.789473684210526,0.8,0.368421052631579,0.173792800252613,0.873752290764327,1,0.423020379966457,0.549440416345783,0.842105263157895,0.861529994524784,"tab"
"11",0.270461383899187,0.79517643685015,1,1,0.934782608695652,1,0.695252028620875,0.287460494353773,0.96681655714508,0.574939465533189,0,0.911111111111111,0.91304347826087,0.733333333333333,0.485253425250366,0.945963168915977,1,0.743835434226768,0.803991811160509,0.933333333333333,0.944843453573601,"tab"
"12",0.875,0.5,1,1,0.357811922621056,1,0.666666666666667,0.875,0.665161242652086,0.789473684210526,0.911111111111111,0,0.2,0.666666666666667,0.826086956521739,0.448801284879167,1,0.549821605759218,0.5,0.25,0.392178910855016,"tab"
"13",0.88872822578836,0.555555555555556,1,1,0.278588107771673,1,0.75,0.878787878787879,0.569770602409929,0.8,0.91304347826087,0.2,0,0.692307692307692,0.833333333333333,0.28932546198261,1,0.611016706584664,0.555555555555556,0,0.243919496704432,"tab"
"14",0.625,0.283284463790007,1,1,0.735860694123255,1,0,0.625,0.879283587143357,0.368421052631579,0.733333333333333,0.666666666666667,0.692307692307692,0,0.478260869565217,0.802805630496177,1,0.136584525876042,0.307210950181861,0.75,0.76337548661645,"tab"
"15",0.280745611007628,0.605994350606067,1,1,0.866974984341849,1,0.424523665071418,0.278813487835851,0.935764663895064,0.173792800252613,0.485253425250366,0.826086956521739,0.833333333333333,0.478260869565217,0,0.895281283363609,1,0.514330622091343,0.624470001364242,0.869565217391304,0.884868615874301,"tab"
"16",0.924319344003479,0.70952889508838,1,1,0,1,0.802805630496177,0.924319344003479,0.398377073894572,0.873752290764327,0.945963168915977,0.448801284879167,0.28932546198261,0.802805630496177,0.895281283363609,0,1,0.8,0.70952889508838,0.28932546198261,0,"tab"
"17",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"18",0.646043802744618,0.160730561725974,1,1,0.727272727272727,1,0.136083892010661,0.646043802744618,0.856312266023469,0.423020379966457,0.743835434226768,0.549821605759218,0.611016706584664,0.136584525876042,0.514330622091343,0.8,1,0,0.161429426530403,0.655156328613467,0.761166458687528,"tab"
"19",0.72682409574567,0,1,1,0.625682471621093,1,0.319739486233948,0.72682409574567,0.875,0.549440416345783,0.803991811160509,0.5,0.555555555555556,0.307210950181861,0.624470001364242,0.70952889508838,1,0.161429426530403,0,0.625,0.698524940125548,"tab"
"20",0.90625,0.625,1,1,0.217887297776605,1,0.75,0.90625,0.569770602409929,0.842105263157895,0.933333333333333,0.25,0,0.75,0.869565217391304,0.28932546198261,1,0.655156328613467,0.625,0,0.243919496704432,"tab"
"21",0.922787746657828,0.75,1,1,0.158511985065111,1,0.833333333333333,0.922787746657828,0.370882690699416,0.861529994524784,0.944843453573601,0.392178910855016,0.243919496704432,0.76337548661645,0.884868615874301,0,1,0.761166458687528,0.698524940125548,0.243919496704432,0,"tab"
