"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","sep"
"1",0,0.166666666666667,0,0.428571428571429,0.428571428571429,0.210526315789474,0.222222222222222,0.625,0.307692307692308,0.375,0.4,0.428571428571429,0,0.444444444444444,0.705882352941177,0.533333333333333,0.625,0.307692307692308,0.4,0.428571428571429,"tab"
"2",0.166666666666667,0,0,0,0.222222222222222,0,0,0.166666666666667,0,0.142857142857143,0,0,0.25,0.133333333333333,0.333333333333333,0.2,0.461538461538462,0,0.153846153846154,0.166666666666667,"tab"
"3",0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.133333333333333,0.181818181818182,0,0.333333333333333,0,0,0,"tab"
"4",0.428571428571429,0,0,0,0.333333333333333,0,0.117647058823529,0.428571428571429,0.428571428571429,0.266666666666667,0.285714285714286,0.307692307692308,0.181818181818182,0.352941176470588,0.666666666666667,0.333333333333333,0.571428571428571,0.428571428571429,0.4,0.307692307692308,"tab"
"5",0.428571428571429,0.222222222222222,0,0.333333333333333,0,0.210526315789474,0.222222222222222,0.307692307692308,0.307692307692308,0.375,0.285714285714286,0.307692307692308,0.4,0.25,0.333333333333333,0.2,0.571428571428571,0.307692307692308,0.285714285714286,0.166666666666667,"tab"
"6",0.210526315789474,0,0,0,0.210526315789474,0,0.380952380952381,0.210526315789474,0.3,0.3,0.210526315789474,0.210526315789474,0,0.380952380952381,0.454545454545455,0.210526315789474,0.3,0.210526315789474,0.380952380952381,0.210526315789474,"tab"
"7",0.222222222222222,0,0,0.117647058823529,0.222222222222222,0.380952380952381,0,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.315789473684211,0,0.4,0.476190476190476,0.222222222222222,0.222222222222222,0.315789473684211,0.315789473684211,0.222222222222222,"tab"
"8",0.625,0.166666666666667,0,0.428571428571429,0.307692307692308,0.210526315789474,0.222222222222222,0,0.625,0.470588235294118,0.4,0.625,0.307692307692308,0.444444444444444,0.625,0.307692307692308,0.428571428571429,0.533333333333333,0.5,0.428571428571429,"tab"
"9",0.307692307692308,0,0,0.428571428571429,0.307692307692308,0.3,0.222222222222222,0.625,0,0.375,0.285714285714286,0.307692307692308,0,0.352941176470588,0.625,0.428571428571429,0.625,0.307692307692308,0.285714285714286,0.533333333333333,"tab"
"10",0.375,0.142857142857143,0.142857142857143,0.266666666666667,0.375,0.3,0.222222222222222,0.470588235294118,0.375,0,0.142857142857143,0.375,0.142857142857143,0.352941176470588,0.555555555555556,0.375,0.375,0.375,0.470588235294118,0.470588235294118,"tab"
"11",0.4,0,0,0.285714285714286,0.285714285714286,0.210526315789474,0.222222222222222,0.4,0.285714285714286,0.142857142857143,0,0.285714285714286,0,0.25,0.588235294117647,0.285714285714286,0.5,0.285714285714286,0.4,0.5,"tab"
"12",0.428571428571429,0,0,0.307692307692308,0.307692307692308,0.210526315789474,0.315789473684211,0.625,0.307692307692308,0.375,0.285714285714286,0,0,0.25,0.625,0.428571428571429,0.705882352941177,0.166666666666667,0.285714285714286,0.625,"tab"
"13",0,0.25,0,0.181818181818182,0.4,0,0,0.307692307692308,0,0.142857142857143,0,0,0,0.133333333333333,0.461538461538462,0.363636363636364,0.571428571428571,0,0.153846153846154,0.307692307692308,"tab"
"14",0.444444444444444,0.133333333333333,0.133333333333333,0.352941176470588,0.25,0.380952380952381,0.4,0.444444444444444,0.352941176470588,0.352941176470588,0.25,0.25,0.133333333333333,0,0.444444444444444,0.25,0.444444444444444,0.25,0.352941176470588,0.444444444444444,"tab"
"15",0.705882352941177,0.333333333333333,0.181818181818182,0.666666666666667,0.333333333333333,0.454545454545455,0.476190476190476,0.625,0.625,0.555555555555556,0.588235294117647,0.625,0.461538461538462,0.444444444444444,0,0.333333333333333,0.666666666666667,0.625,0.5,0.533333333333333,"tab"
"16",0.533333333333333,0.2,0,0.333333333333333,0.2,0.210526315789474,0.222222222222222,0.307692307692308,0.428571428571429,0.375,0.285714285714286,0.428571428571429,0.363636363636364,0.25,0.333333333333333,0,0.571428571428571,0.428571428571429,0.153846153846154,0.166666666666667,"tab"
"17",0.625,0.461538461538462,0.333333333333333,0.571428571428571,0.571428571428571,0.3,0.222222222222222,0.428571428571429,0.625,0.375,0.5,0.705882352941177,0.571428571428571,0.444444444444444,0.666666666666667,0.571428571428571,0,0.705882352941177,0.5,0.428571428571429,"tab"
"18",0.307692307692308,0,0,0.428571428571429,0.307692307692308,0.210526315789474,0.315789473684211,0.533333333333333,0.307692307692308,0.375,0.285714285714286,0.166666666666667,0,0.25,0.625,0.428571428571429,0.705882352941177,0,0.285714285714286,0.533333333333333,"tab"
"19",0.4,0.153846153846154,0,0.4,0.285714285714286,0.380952380952381,0.315789473684211,0.5,0.285714285714286,0.470588235294118,0.4,0.285714285714286,0.153846153846154,0.352941176470588,0.5,0.153846153846154,0.5,0.285714285714286,0,0.4,"tab"
"20",0.428571428571429,0.166666666666667,0,0.307692307692308,0.166666666666667,0.210526315789474,0.222222222222222,0.428571428571429,0.533333333333333,0.470588235294118,0.5,0.625,0.307692307692308,0.444444444444444,0.533333333333333,0.166666666666667,0.428571428571429,0.533333333333333,0.4,0,"tab"
