"","V1","cond((Int))","disp((Int))","cond(Dist_edge_std)","cond(Dist_trail_beginning_std)","cond(Dist_trail_std)","df","logLik","AICc","delta","weight"
"58","FAlphaEnd",0.407747,NA,-0.03462232,NA,NA,4,-13.39848,37.87389,1.113043,0.23858836
"59","FAlphaEnd",0.3958594,NA,NA,-0.02111355,NA,4,-14.01214,39.10121,2.340362,0.129163633
"60","FAlphaEnd",0.389505,NA,NA,NA,-0.016923015,4,-14.08669,39.25031,2.48946,0.11988479
"61","FAlphaEnd",0.4119668,NA,-0.02997859,-0.01120222,NA,5,-13.25084,41.50168,4.740832,0.038894205
"62","FAlphaEnd",0.4076888,NA,-0.03146909,NA,-0.004805541,5,-13.3675,41.73499,4.974143,0.034611634
"63","FAlphaEnd",0.3948322,NA,NA,-0.01502858,-0.006514632,5,-13.98639,42.97278,6.211933,0.018639714
"64","FAlphaEnd",0.414897,NA,-0.03274759,-0.01826417,0.008345735,6,-13.21272,46.06181,9.30096,0.003978007
"65","abund.all",4.864967,NA,NA,NA,NA,3,-90.24958,188.2134,0,0.426800428
"66","abund.all",4.824543,NA,NA,NA,0.08311365,4,-89.4471,189.9711,1.757674,0.177235506
"67","abund.all",4.801532,NA,NA,0.09251623,NA,4,-89.47803,190.033,1.819535,0.171837473
"68","abund.all",4.800883,NA,0.08695024,NA,NA,4,-89.72027,190.5175,2.304011,0.134869936
"69","abund.all",4.769887,NA,0.0599817,0.07410476,NA,5,-89.23614,193.4723,5.258825,0.030781202
"70","abund.all",4.799249,NA,0.04651552,NA,0.06465104,5,-89.3249,193.6498,5.436361,0.02816657
"71","abund.all",4.808097,NA,NA,0.04817277,0.04907336,5,-89.35956,193.7191,5.505681,0.027207041
"72","abund.all",4.777853,NA,0.05138599,0.05484961,0.0239019,6,-89.21286,198.0621,9.848639,0.003101844
"73","abund.nat",4.785638,NA,NA,NA,NA,3,-88.29936,184.313,0,0.538467519
"74","abund.nat",4.730286,NA,0.07546482,NA,NA,4,-87.87359,186.8241,2.511109,0.153419015
"75","abund.nat",4.766194,NA,NA,NA,0.041766202,4,-88.08819,187.2533,2.9403,0.123788811
"76","abund.nat",4.756613,NA,NA,0.04347957,NA,4,-88.12039,187.3177,3.004699,0.119866369
"77","abund.nat",4.722126,NA,0.06639689,0.02221209,NA,5,-87.8293,190.6586,6.345599,0.02255434
"78","abund.nat",4.730468,NA,0.06510824,NA,0.015961306,5,-87.84875,190.6975,6.384497,0.02211992
"79","abund.nat",4.760922,NA,NA,0.01587123,0.030361886,5,-88.07942,191.1588,6.845844,0.017563188
"80","abund.nat",4.72151,NA,0.06701821,0.02378351,-0.001914498,6,-87.82916,195.2947,10.981685,0.002220838
"81","abund.nind",2.135955,NA,NA,NA,NA,3,-58.69636,125.107,0,0.526085646
"82","abund.nind",1.709311,NA,0.451333,NA,NA,4,-58.16788,127.4127,2.305675,0.166106037
"83","abund.nind",1.981184,NA,NA,NA,0.18150468,4,-58.48564,128.0482,2.941211,0.12088729
"84","abund.nind",1.992787,NA,NA,0.2518219,NA,4,-58.49624,128.0694,2.962395,0.11961361
"85","abund.nind",1.636577,NA,0.6077808,-0.1165401,NA,5,-58.14182,131.2836,6.176634,0.023978249
"86","abund.nind",1.669868,NA,0.5310995,NA,-0.04696168,5,-58.16042,131.3208,6.213832,0.0235364
"87","abund.nind",1.974046,NA,NA,0.1169163,0.11126452,5,-58.46109,131.9222,6.815186,0.017424394
"88","abund.nind",1.609946,NA,0.6597616,-0.1103878,-0.03368902,6,-58.13858,135.9135,10.80652,0.002368375
"89","abund.end",4.607388,NA,NA,NA,NA,3,-87.99767,183.7096,0,0.565097283
"90","abund.end",4.544535,NA,0.08533934,NA,NA,4,-87.6016,186.2801,2.570508,0.156294798
"91","abund.end",4.597399,NA,NA,NA,0.02190795,4,-87.95574,186.9884,3.27878,0.109684504
"92","abund.end",4.598462,NA,NA,0.013586714,NA,4,-87.98497,187.0469,3.337234,0.106525144
"93","abund.end",4.544059,NA,0.09557098,NA,-0.01554364,5,-87.58431,190.1686,6.458996,0.022365064
"94","abund.end",4.549661,NA,0.09137554,-0.014592654,NA,5,-87.58744,190.1749,6.465256,0.022295171
"95","abund.end",4.602851,NA,NA,-0.016630667,0.03388302,5,-87.94873,190.8975,7.187836,0.015534758
"96","abund.end",4.545949,NA,0.09511991,-0.004989044,-0.01176332,6,-87.58368,194.8037,11.094102,0.002203279
"97","prop.Talpha",-1.861708,NA,NA,NA,NA,2,-6.853268,18.50654,0,0.542197539
"98","prop.Talpha",-1.764572,NA,-0.1456227,NA,NA,3,-6.835933,21.38615,2.879617,0.128486272
"99","prop.Talpha",-1.820495,NA,NA,NA,-0.10232462,3,-6.8419,21.39809,2.89155,0.127721919
"100","prop.Talpha",-1.849162,NA,NA,-0.01941912,NA,3,-6.852922,21.42013,2.913595,0.126321825
"101","prop.Talpha",-1.761743,NA,-0.1156996,NA,-0.05666926,4,-6.8333,24.74352,6.236988,0.023977997
"102","prop.Talpha",-1.876361,NA,NA,0.14271949,-0.19196711,4,-6.833826,24.74457,6.238039,0.023965396
"103","prop.Talpha",-1.777364,NA,-0.1562564,0.0307872,NA,4,-6.835203,24.74733,6.240794,0.023932407
"104","prop.Talpha",-1.816523,NA,-0.11092,0.13335144,-0.14188872,5,-6.82611,28.65222,10.145685,0.003396644
"105","prop.Falpha",-0.1253504,NA,NA,NA,NA,2,-17.10053,39.00106,0,0.544764237
"106","prop.Falpha",-0.1393486,NA,0.01954062,NA,NA,3,-17.09868,41.91165,2.910594,0.127110429
"107","prop.Falpha",-0.1207856,NA,NA,-0.007021296,NA,3,-17.10027,41.91482,2.913764,0.126909076
"108","prop.Falpha",-0.1270095,NA,NA,NA,0.003707128,3,-17.10043,41.91514,2.914085,0.126888707
"109","prop.Falpha",-0.1334152,NA,0.02480511,-0.014926901,NA,4,-17.09763,45.27218,6.271123,0.023683806
"110","prop.Falpha",-0.1392271,NA,0.02256445,NA,-0.005111377,4,-17.09854,45.27399,6.272936,0.023662344
"111","prop.Falpha",-0.1182003,NA,NA,-0.02465168,0.019833843,4,-17.09908,45.27508,6.274022,0.023649504
"112","prop.Falpha",-0.1303965,NA,0.0216067,-0.023269743,0.01049324,5,-17.09734,49.19468,10.193624,0.003331895
"113","prop.abund",-2.652391,NA,NA,NA,NA,2,-4.04765,12.8953,0,0.525490489
"114","prop.abund",-2.973068,NA,NA,0.3886352,NA,3,-3.938551,15.59139,2.696088,0.136495018
"115","prop.abund",-2.856467,NA,NA,NA,0.3211253,3,-3.950543,15.61537,2.720071,0.134868023
"116","prop.abund",-2.732075,NA,0.1072049,NA,NA,3,-4.04314,15.80056,2.905265,0.122940391
"117","prop.abund",-2.912857,NA,-0.1440318,0.4428213,NA,4,-3.932105,18.94113,6.045834,0.025569886
"118","prop.abund",-2.739449,NA,-0.2468976,NA,0.4207497,4,-3.934843,18.94661,6.051309,0.025499974
"119","prop.abund",-2.949437,NA,NA,0.2746595,0.1126891,4,-3.934945,18.94681,6.051513,0.025497372
"120","prop.abund",-2.828197,NA,-0.2459331,0.2595065,0.2238089,5,-3.920315,22.84063,9.94533,0.003638847
"121","prop.end",1.282031,NA,NA,NA,NA,3,17.07327,-26.43226,0,0.50138212
"122","prop.end",1.343751,NA,NA,NA,-0.1276088,4,17.70684,-24.33677,2.095494,0.1758483
"123","prop.end",1.361952,NA,NA,-0.125818494,NA,4,17.43722,-23.79752,2.634743,0.13428938
"124","prop.end",1.377528,NA,-0.139110911,NA,NA,4,17.28325,-23.48957,2.942692,0.11512546
"125","prop.end",1.284861,NA,0.131388351,NA,-0.1883451,5,17.796,-20.592,5.840261,0.02703786
"126","prop.end",1.340798,NA,NA,0.008897464,-0.1330999,5,17.70762,-20.41524,6.017016,0.02475086
"127","prop.end",1.35996,NA,0.006091007,-0.129362669,NA,5,17.4374,-19.8748,6.557457,0.01889014
"128","prop.end",1.288681,NA,0.140748189,-0.024611617,-0.1777533,6,17.80123,-15.96609,10.466173,0.00267589
"129","all.tax.btotal",2,NA,NA,NA,2,2,3,1,1,8
"130","all.tax.btotal",7,NA,3,NA,4,3,5,8,2,7
"131","all.tax.btotal",3,NA,NA,3,NA,2,1,7,3,6
"132","all.tax.btotal",8,NA,NA,NA,NA,1,7,6,4,5
"133","all.tax.btotal",1,NA,NA,1,1,3,4,5,5,4
"134","all.tax.btotal",6,NA,1,NA,NA,2,8,4,6,3
"135","all.tax.btotal",4,NA,2,4,NA,3,2,3,7,2
"136","all.tax.btotal",5,NA,4,2,3,4,6,2,8,1
"137","all.tax.brich",-2.105334,NA,NA,NA,-1.197884,4,26.76888,-41.09331,0,0.572958022
"138","all.tax.brich",-2.645982,NA,1.0184781,NA,-1.529036,5,28.45249,-39.40498,1.688337,0.24632301
"139","all.tax.brich",-2.29588,NA,NA,0.6325813,-1.579602,5,27.45359,-37.40717,3.686143,0.090716642
"140","all.tax.brich",-2.203438,NA,NA,NA,NA,3,22.22727,-36.05454,5.038771,0.046128314
"141","all.tax.brich",-2.011477,NA,NA,-0.5676433,NA,4,23.38204,-34.31963,6.773681,0.019374779
"142","all.tax.brich",-2.808091,NA,1.0021975,0.5285688,-1.910825,6,28.97666,-33.95331,7.140002,0.01613211
"143","all.tax.brich",-2.215259,NA,0.0146371,NA,NA,4,22.22846,-32.01247,9.080846,0.006112827
"144","all.tax.brich",-2.175103,NA,0.3540629,-0.6187816,NA,5,23.75868,-30.01736,11.075949,0.002254296
"145","all.tax.brepl",-0.9279612,NA,NA,NA,-0.788306,4,14.81809,-17.191745,0,0.595656962
"146","all.tax.brepl",-0.8820146,NA,NA,-0.8317516,NA,4,13.32086,-14.19727,2.994474,0.133276736
"147","all.tax.brepl",-1.1845946,NA,0.4183815,NA,-0.9846812,5,15.5125,-13.524991,3.666754,0.095229308
"148","all.tax.brepl",-1.3108902,NA,NA,NA,NA,3,10.93596,-13.471926,3.719819,0.092735901
"149","all.tax.brepl",-0.8568589,NA,NA,-0.2634587,-0.7008793,5,14.89767,-12.295337,4.896408,0.051493765
"150","all.tax.brepl",-1.1179365,NA,-0.244615,NA,NA,4,11.20045,-9.956455,7.23529,0.015990904
"151","all.tax.brepl",-0.9502401,NA,0.1304475,-0.8957886,NA,5,13.3947,-9.289405,7.90234,0.011455787
"152","all.tax.brepl",-1.0827525,NA,0.414703,-0.3272051,-0.8868215,6,15.63188,-7.263751,9.927994,0.004160637
"153","nat.tax.btotal",-0.6747076,NA,NA,NA,-0.8489573,4,13.206182,-13.967919,0,0.599076121
"154","nat.tax.btotal",-1.0162326,NA,0.5623086,NA,-1.1400507,5,14.376599,-11.253198,2.714721,0.154165704
"155","nat.tax.btotal",-0.6743942,NA,NA,-0.7971463,NA,4,11.383142,-10.321839,3.64608,0.096771123
"156","nat.tax.btotal",-1.1047326,NA,NA,NA,NA,3,9.095388,-9.790777,4.177142,0.074203973
"157","nat.tax.btotal",-0.6460729,NA,NA,-0.1105324,-0.8069438,5,13.220173,-8.940345,5.027574,0.048501845
"158","nat.tax.btotal",-0.932264,NA,-0.2162851,NA,NA,4,9.287756,-6.131067,7.836851,0.011905053
"159","nat.tax.btotal",-0.7775383,NA,0.1980632,-0.8984263,NA,5,11.536167,-5.572333,8.395586,0.009003342
"160","nat.tax.btotal",-0.9395136,NA,0.563831,-0.245658,-1.0722082,6,14.440616,-4.881232,9.086687,0.006372839
"161","nat.tax.brich",-3.183075,NA,NA,NA,NA,3,40.3836,-72.3672,0,0.6467599272
"162","nat.tax.brich",-3.07185,NA,NA,NA,-0.2296542,4,40.79716,-69.14988,3.217319,0.1294527337
"163","nat.tax.brich",-3.078745,NA,NA,-0.1874283,NA,4,40.5808,-68.71716,3.65004,0.1042670386
"164","nat.tax.brich",-3.109794,NA,-0.09378278,NA,NA,4,40.42627,-68.40809,3.95911,0.0893374116
"165","nat.tax.brich",-3.111133,NA,NA,0.1733021,-0.3468924,5,40.83811,-64.17621,8.19099,0.0107669359
"166","nat.tax.brich",-3.128453,NA,0.09414224,NA,-0.267672,5,40.82785,-64.15569,8.21151,0.0106570345
"167","nat.tax.brich",-3.086147,NA,0.01395016,-0.193888,NA,5,40.58152,-63.66303,8.70417,0.0083302222
"168","nat.tax.brich",-3.162932,NA,0.08859566,0.1654341,-0.3771836,6,40.86462,-57.72924,14.637963,0.0004286964
"169","nat.tax.brepl",-0.8513318,NA,NA,NA,-0.8110532,4,14.3175,-16.190554,0,0.600101848
"170","nat.tax.brepl",-1.1580098,NA,0.5003938,NA,-1.0608879,5,15.30023,-13.10046,3.090094,0.128002828
"171","nat.tax.brepl",-0.8272731,NA,NA,-0.8039083,NA,4,12.63124,-12.818028,3.372526,0.111145083
"172","nat.tax.brepl",-1.249878,NA,NA,NA,NA,3,10.30572,-12.211449,3.979105,0.082067902
"173","nat.tax.brepl",-0.8034228,NA,NA,-0.1808807,-0.747432,5,14.35624,-11.212478,4.978076,0.049802315
"174","nat.tax.brepl",-1.074349,NA,-0.2214309,NA,NA,4,10.51952,-8.594587,7.595967,0.013451842
"175","nat.tax.brepl",-0.9163894,NA,0.1708305,-0.890241,NA,5,12.75385,-8.007707,8.182846,0.010030959
"176","nat.tax.brepl",-1.0721409,NA,0.4981999,-0.2721203,-0.9808855,6,15.38406,-6.768124,9.422429,0.005397224
"177","nind.tax.btotal",-0.01696538,NA,1.1997707,NA,-1.3852113,5,29.6188,-41.73761,0,0.34245381
"178","nind.tax.btotal",0.67980089,NA,NA,NA,-0.7728203,4,26.82364,-41.20284,0.5347663,0.26210721
"179","nind.tax.btotal",0.15176518,NA,NA,NA,NA,3,24.60161,-40.80322,0.9343941,0.21463518
"180","nind.tax.btotal",0.52208971,NA,NA,-0.5509077,NA,4,25.56696,-38.68948,3.0481293,0.0745949
"181","nind.tax.btotal",-0.08986458,NA,0.3078574,NA,NA,4,24.80639,-37.16833,4.5692827,0.03486542
"182","nind.tax.btotal",0.6103037,NA,NA,0.7088362,-1.3007565,5,27.22252,-36.94504,4.7925722,0.0311823
"183","nind.tax.btotal",0.06477217,NA,0.9106164,-0.9769376,NA,5,26.95187,-36.40374,5.3338651,0.02378855
"184","nind.tax.btotal",-0.09494762,NA,1.1740725,0.4884552,-1.6992136,6,29.82828,-35.65656,6.0810499,0.01637264
"185","nind.tax.brich",-0.12739384,NA,NA,NA,NA,3,32.95582,-57.51165,0,0.25702964
"186","nind.tax.brich",-0.82084904,NA,1.973202,NA,-1.6802428,5,37.41365,-57.3273,0.1843437,0.23439777
"187","nind.tax.brich",-1.80703847,NA,4.072738,2.1799417,-5.3402217,6,40.62544,-57.25089,0.2607595,0.22561086
"188","nind.tax.brich",0.15971813,NA,NA,NA,-0.6443009,4,34.11556,-55.78667,1.7249767,0.10849489
"189","nind.tax.brich",-0.57176047,NA,0.600403,NA,NA,4,33.67828,-54.91212,2.5995291,0.07006524
"190","nind.tax.brich",0.06244363,NA,NA,-0.3168669,NA,4,33.26524,-54.08604,3.4256078,0.0463577
"191","nind.tax.brich",-0.03157647,NA,NA,1.7655191,-2.3705202,5,35.42032,-53.34063,4.1710116,0.03193446
"192","nind.tax.brich",-0.52671025,NA,1.153074,-0.8291077,NA,5,35.21893,-52.93786,4.573789,0.02610944
"193","nind.tax.brepl",-1.785392,NA,NA,NA,NA,3,35.12305,-61.84611,0,0.5519669571
"194","nind.tax.brepl",-1.366549,NA,-0.564806,NA,NA,4,36.19367,-59.9429,1.903206,0.2131263939
"195","nind.tax.brepl",-1.619522,NA,NA,-0.2927857,NA,4,35.44601,-58.44759,3.398522,0.1009098103
"196","nind.tax.brepl",-1.687934,NA,NA,NA,-0.17860187,4,35.33175,-58.21906,3.627043,0.0900141432
"197","nind.tax.brepl",-1.326455,NA,-0.517413,-0.1473425,NA,5,36.25534,-55.01067,6.835433,0.0180974574
"198","nind.tax.brepl",-1.362579,NA,-0.5497411,NA,-0.03073148,5,36.19844,-54.89688,6.949229,0.0170964959
