"","cond((Int))","disp((Int))","cond(Dist_edge_std)","cond(Dist_trail_beginning_std)","cond(Dist_trail_std)","df","logLik","AICc","delta","weight"
"1",0.887295653317162,"+",NA,NA,NA,2,-40.9526394922455,86.5719456511576,0,0.317587614901705
"3",1.02426507597176,"+",NA,-0.305170144148676,NA,3,-39.7754187259452,86.9626021577727,0.39065650661513,0.26123633074517
"5",0.937439687029613,"+",NA,NA,-0.187222075918986,3,-40.3620048714726,88.1357744488275,1.56382879766988,0.145305632416656
"2",1.0070485434603,"+",-0.26653406078411,NA,NA,3,-40.5473003002086,88.5063653062996,1.93441965514197,0.120728461643501
"4",0.99021648602013,"+",0.12499415176865,-0.356042631217063,NA,4,-39.7414366140632,89.9828732281264,3.41092757696885,0.0577018909011064
"7",1.02808805471145,"+",NA,-0.339397867722858,0.0422959169581181,4,-39.7648136776034,90.0296273552067,3.45768170404915,0.0563686346558301
"6",0.930564804652946,"+",0.0209098939596291,NA,-0.196934877523326,4,-40.3613963470031,91.2227926940063,4.65084704284867,0.0310416611802153
"8",0.986839543082351,"+",0.13426768826151,-0.352608845931607,-0.00877742948136551,5,-39.7411685332593,93.4823370665186,6.91039141536103,0.0100297735558162
