year.trail.area.plot;1;2;3;4;5;6;11;12;13;14;18;19;20;22;31;32;33;34;35;36;38;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;61;62;63;64;66;90;91;92;93;95;97;98;99;100;101;road
2017.mist.negros.250.3;0;15;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;9;0;0
2017.mist.negros.50.1;0;3;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;11;0;0
2017.mist.negros.50.2;2;18;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017.mist.negros.50.3;0;9;0;10;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;11;0;0
2017.mist.negros.control50.2;0;15;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;53;1;0;13;0;0;8;0;0;0;0;0;0;0;8;2;0;0;0;0;37;5;0
2017.mist.negros.max.1;16;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0
2017.mist.negros.max.2;1;6;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;1;0;0;0;17;0;0
2017.mist.negros.max.3;5;6;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;16;0;0
2017.serreta.0.1;0;21;0;19;0;0;0;0;0;0;0;4;0;0;4;10;0;0;0;0;0;0;0;0;0;7;0;3;0;0;0;5;18;2;1;2;0;0;4;2;0;0;0;0;0;1;0;10;4;0;2;0;1;0;0
2017.serreta.0.2;0;25;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;6;1;0;1;0;0;2;5;0;0;0;0;0;0;0;3;16;0;0;0;0;2;0
2017.serreta.0.3;0;17;0;14;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;5;0;2;0;0;0;6;0;0;0;0;0;0;0;2;8;0;0;0;0;1;0
2017.serreta.250.1;2;33;0;8;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;0;0;9;0;0;5;0;0;0;0;0;1;1;5;2;28;0;0;0;0;0;0
2017.serreta.250.2;0;22;0;12;0;0;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;6;0;0;1;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0
2017.serreta.250.3;2;8;0;21;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;10;0;0;0;5;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0
2017.serreta.50.1;9;25;4;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;3;10;3;0;0;0;0;1;3;0;0;1;0;0;0;2;2;5;0;0;0;0;0;0
2017.serreta.50.2;0;24;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;14;0;0;1;0;0;0;0;0;0;0;0;1;19;0;0;0;0;0;0
2017.serreta.50.3;0;15;0;15;0;0;0;0;0;0;0;4;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;1;0
2017.serreta.Control 50.2;0;5;0;1;0;0;0;0;0;0;0;1;0;0;2;1;1;0;0;0;0;0;0;2;0;11;0;0;0;0;0;0;16;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;23;0;0
