Row Labels,11,12,13,14,18,19,20,22,31,32,33,34,35,36,38,41,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,61,62,63,64,66,90,91,92,93,95,97,98,99,100,101,All,Inv
2017.guil.moniz.0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,25,0
2017.guil.moniz.0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,15,3
2017.guil.moniz.0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,17,1
2017.serreta .0.1,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,0,0,7,0,3,0,0,0,5,18,2,1,2,0,0,4,2,0,0,0,0,0,1,0,10,4,0,2,0,1,0,80,9
2017.serreta .0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,6,1,0,1,0,0,2,5,0,0,0,0,0,0,0,3,16,0,0,0,0,2,42,8
2017.serreta .0.3,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,2,0,0,0,6,0,0,0,0,0,0,0,2,8,0,0,0,0,1,41,6
2017.serreta .50.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,10,3,0,0,0,0,1,3,0,0,1,0,0,0,2,2,5,0,0,0,0,0,36,8
2017.serreta .50.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,38,0
2017.serreta .50.3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,33,0
2017.serreta .250.1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,9,0,0,5,0,0,0,0,0,1,1,5,2,28,0,0,0,0,0,77,0
2017.serreta .250.2,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,48,0
2017.serreta .250.3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,10,0,0,0,5,0,0,0,0,0,0,0,1,17,0,0,0,0,0,43,5
